"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","sick","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","sicklag","angrylag"
"E_Scblty",0,0,-0.1395,0,0,0,0.1369,0,-0.3518,0,-0.2394,0,0,0,0,0.5708,0,-0.2489,-0.2969,0,0,0,-0.2036,0,0,0.4047,0,0,0,0.1428,0,-0.5056,0,0.9282
"E_Assert",0,0,-0.3579,0,0,0.1522,0,0,0,0,0,0.1039,0,-0.2216,0,0,0,0,-0.3541,0.3712,0,0,0,-0.1882,0.1762,0.1957,0.1462,-0.1426,0,0,0.4503,-0.2449,0,-0.0588
"E_EnerLev",0,0,0,0,0.2858,0,-0.4556,0,0,0,0,0.1978,0,0,0,0,0,0,0,0.2258,0,0,0,0,-0.2764,0.3031,0,0,0.3374,0,-0.1919,0,0,0
"A_Cmpn",0.275,0,0,0,0.2065,0.4284,0,-0.0852,0.4388,0,0,0,-0.2798,-0.1475,0,0,0,0,0,0,-0.1323,0,0.2956,0,0,0.1571,0,0,0,-0.2904,0.216,0,0,-0.0161
"A_Rspct",0,0,0,0,0,0,0,-0.1206,0,-0.2977,0,0,0,0,0,0.2799,0,0.1147,0,0,0,0.061,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0,-0.0997,0,0,0,0.3239,0,-0.8854,0,-0.5185,0,0,-0.2747,0,0,0,0,0,0,0,-0.5628,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,-0.4422,0.0141,0,0,0,0,0,0.2901,0,0,0,0,-0.5466,0,0.0727,0,0,0,0.4273,0,0,0,-0.2258,0,0,0,-0.2541,0,-0.2364,0,0.1044,0,-0.1483
"C_Prdctv",-0.4222,0,0,0,0.0119,-0.9887,-0.0764,0,0,0.442,0,0.0017,0,0,0,0,0,0.0414,0.1902,0,0.3619,0,0,0.356,-0.2413,0,0.4171,-0.2591,0,0,0,-0.633,0,0
"C_Rspnbl",0,0.1675,0,0,0,-0.102,0,0.1081,0,0,-0.4533,0,0,0,0,0,0,0,0,0,-0.3819,0,0,0,0,-0.1164,0,0,0.2874,0,-0.4069,0,0,0
"N_Anxty",0,0,-0.4473,-0.3307,0.7521,0.5729,0.0552,-0.9569,0,0,0,0.9813,-0.1684,-0.4894,0.2135,0,0,-0.6846,-0.2223,0.3143,-0.5155,0.2592,0.167,0,-0.5408,0.8569,-0.4451,0.5535,0.7293,0,0,-0.4037,0,0
"N_Depr",0,0,-0.2573,0,0,0,0,0,0,0.5027,0,0.3783,-0.4739,0,0,0,-0.8973,0.1624,0,0,0,0,0,0,0,0,0.4825,-0.5065,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,-0.269,0,0,-0.6349,0,0,0,0,0,0,0,0,0,-0.1695,0.2839,0,0,0,-0.1345,0,0,-0.214,0,0,0.0736,-0.6187,0,-0.4662,0,-0.5678
"O_IntCur",0,-0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1618,0,0,-0.1749,-0.1487,0,0,0,0,0.2954,0,0,0.0732,0
"O_AesSens",0,0,-0.5489,0,0,0,0,-0.2361,0,0.1193,0,-0.2039,0,0,0.2609,0,0,-0.3204,-0.0596,0,0.2685,0,0,-0.2093,0,0,0,-0.1683,0.488,-0.2843,-0.2264,-0.2707,0,-0.1871
"O_CrtvImag",0,0.148,0.105,0,0,0,0,0,0,0,-0.1404,0.1295,0,0,0,0,0,0,-0.2875,-0.1509,-0.1831,0.3363,0,-0.2896,0,0,0.2685,0,0,0,0,0.1831,0,0
"angry",-1.1498,-1.381,-1.3209,1.029,-2.3336,0,0,-1.4457,0.3822,1.3319,2.5479,-2.2296,0,-0.7757,0.8905,-7.5895,0,-0.579,0.7983,-0.0824,3.7819,-3.0249,-1.1758,0.4764,0.2282,-1.6618,1.7566,0.3597,0,0.6576,0,-0.4186,4.3944,-6.7562
"sick",0,0,0,0,1.1647,0,0,0,1.3221,0,-2.0975,0,0,0,0,0,3.1142,0,0,0,0,0,0,0,-0.0314,0,0,0,0,0,0,0,0.0265,0
