"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","sick","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","sicklag","angrylag"
"E_Scblty",0,0,0,0,0,0,0,0,0.2154,0,0,0,0.2707,0,0,0,0,0.1148,0,0,0,0,0.138,0,0,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,0,0.0499,0,0.0888,0,0,0,0,0,0,0,0.0469,0.1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0.2734,0,0,0,0,0.1646,0,0,0.1732,0,0,0,0,0,0,0,0,0,0.1002,0.1066,0,0,0,0,0,0,0,0,0,0,0.1911,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1166,0,0,0.1225,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0427,0.1165,0.0483,0.0546,0.0888,0,0.0823,0,0,0,0,0,0,0,0.0719,0,0.0608
"A_Trust",0.0521,0,0.0286,0,0.0714,0,0,0.0329,0.0825,0.0739,0.1012,0,0,0,0,0,0,0.0324,0,0,0,0.0607,0.0396,0,0,0.0604,0,0.0622,0,0,0.0822,0,0,0.0425
"C_Org",0,0,0,0.0648,0,0,0,0.0913,0,0,0,0.0663,0,0,0,0.2547,0.0927,0,0,0,0,0,0,0.1223,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1372,0,0,0,0,0,0,0,0.1217,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0.0564,0,0.0924,0,0.0858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712,0.1134,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0541,0.1506,0,0,0,0,0,0.0765,0.1176,0.1131,0,0,0,0,0,0,0
"N_Depr",0.0617,0,0,0,0,0,0,0,0,0,0,0,0,0.0934,0,0,0.0939,0,0,0,0,0,0,0,0,0,0,0.1304,0,0,0.1542,0,0,0
"N_EmoVol",0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1441,0,0,0,0.1574,0,0,0,0,0
"O_IntCur",0,0,0.0623,0.0556,0,0.0664,0,0.0728,0,0,0,0,0,0,0,0.2528,0,0,0,0.0734,0,0.1395,0,0.1273,0,0,0,0,0,0.1475,0,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1355,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0.1269,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1051,0,0,0,0,0,0,0.136,0,0
"angry",0,0,0.015,0,0.0421,0,0.074,0,0.0609,0.0934,0,0.0225,0.0459,0,0,0,0,0.0181,0.0455,0.0326,0,0,0.0225,0,0.0241,0.0272,0,0,0,0,0.0399,0,0,0.0565
"sick",0.0577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0485,0,0.0926,0,0,0,0,0,0,0,0,0,0,0.2679,0
