"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","sick","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","sicklag","angrylag"
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2544,0,0,0,-0.1075,0,0,0,0,0.2694,0,0,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,-0.2963,0,0.2009,0,0,0,0,0,0,0.1795,0,0,0,0,-0.1948,0,0,0,0,0.319,0,0,0,0,0,-0.2543,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1273,0,0,0,0,0,0.3921,0,0.2997,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1639,0,0,0,0,0,-0.0284,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0.3655,0,-0.3168,0,0,-0.1964,0,0,0,0,-0.2165,0,0,0,0,0,0,-0.2134,-0.3946,0,0.0011,0,0,0.1661,0,0,0,0,0,0,0,0,-0.6492
"A_Trust",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2591,0,0,0,0,0,0.1191,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0,0,-0.2177,0,0,0.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0421,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0.349,0,0,0.1434,0,0,0,0,-0.3246,-0.232,0,0,0,0,0,0,0,0,0,0,0,0,0.2905,0,0,0,0,0,0,0,0,0
"C_Rspnbl",-0.2392,0,0,0,0,0,0,0,0,0,0,0,0,0.1937,0,0,0,0,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,-0.157,0,0,0,0,0,0,0,0,0,0,-0.3541,0,0,0,0.28,0,0,-0.2531,0,0,0,0,0.2503,0,0
"N_Depr",0,-0.2965,0,0.2061,0,0,0,0,0,0,0,0,-0.3064,-0.1962,0.1761,0,0,0,0,0,0,0,0,0.3324,0,0,-0.2802,0.0745,-0.195,0,0,0,0,0.596
"N_EmoVol",-0.1773,-0.2185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.085,0,0,0,0,0
"O_IntCur",0,-0.237,0,0,0,0,0,0,0.2126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1545,0,0,0,0
"O_AesSens",0,0,0.2319,0,0,0,0,0,0,-0.2977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.051,0,0,0
"O_CrtvImag",0,0,0.1641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502,0,0
"angry",-0.2578,0,-0.1564,-0.2561,0,0,-0.2767,0,0,0.2251,0,0,0,0,0,0,0,0,0,0,0,0,0.4175,0,0,0,0,0,0,0,0,0,0,0.1627
"sick",0,0.1534,0,-0.1123,0,0,0,0,0,0.111,0,0,0,0,0,0,0,0,0,0.1555,0.2708,0.2496,0,-0.1199,0.2609,-0.0527,0,-0.0912,-0.1883,-0.067,0,0.0614,0.8169,0
