"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","sick","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","sicklag","angrylag"
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0.1336,0,0,0,0.0624,0,0,0.0972,0,0,0,0,0.1529,0.1353,0,0,0,0.1602,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4272,0.1093,0,0.0998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0.1634,0,0,0.1942,0,0,0.5344,0.1397,0,0,0.0934,0,0,0,0,0,0.1593,0,0,0,0.1168,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413,0,0,0,0,0,0.1165,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0.0736,0,0,0,0.231,0.0572,0.0509,0,0,0,0.0918,0,0,0,0.0689,0.0769,0,0,0,0,0,0,0.0768
"A_Trust",0.0501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0936,0,0,0,0,0,0.0856,0,0,0,0
"C_Prdctv",0,0,0,0,0,0.1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0986,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0.0988,0,0.0715,0,0,0,0,0.0898,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0883,0,0,0,0,0,0.0448,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0.0799,0,0,0,0,0,0.108,0,0.0633,0,0.1017,0,0.0955,0.0808,0,0,0.0941,0.096,0,0,0,0,0.3417,0
"N_Depr",0,0,0,0,0,0,0.0786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0975,0,0,0,0,0,0
"N_EmoVol",0.0481,0,0,0,0,0.0893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0998,0,0,0,0,0
"O_IntCur",0,0,0,0,0.1946,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,0,0,0,0
"O_AesSens",0,0,0.1702,0.1562,0,0,0,0,0.1442,0,0,0,0.2558,0,0,0,0,0,0.1426,0,0,0,0,0,0,0,0,0,0,0,0.1508,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0.1436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1115,0,0
"angry",0,0,0,0,0,0,0.1474,0.1301,0,0.3725,0,0,0,0,0,0,0,0,0,0,0,0,0.2162,0,0,0,0,0.1766,0,0,0,0,0,0.1802
"sick",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426,0,0,0,0,0,0,0,0,0,0,0.1682,0
