"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","sick","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","sicklag","angrylag"
"E_Scblty",0,0,0,0,0,-0.2048,0,0,0,0,0,0,0,0,0,0,0,0.1907,-0.2879,0,0,0,0,0,0.3097,0,0,0,0,0,0,-0.2905,0,0
"E_Assert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0.5888,0.3538,0,0,-0.8767,0,0,0,0,0,0,0,0.1583,0,0,0.9041,0,0,0,-0.0043,0,0.2881,-0.3305,0,0,0,0.272,0,-0.5098,0,0,0,0,-0.8496
"A_Cmpn",0,0,0,0,0,0.3322,0,0.5407,0,0.1922,0,0,0,0.5094,0,0,0,0,0,0,0.1752,-0.2308,0,-0.1538,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,-0.4752,0,0,0,0,0,0,0,0,-0.9277,0,0,0,0,0,-0.3235,0,0,0,0,0,-0.5609,0.1826,0,0,0,0,0
"A_Trust",0,0,0,0,0,0,0.2592,0,0.5537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509,0,0,0.2967,0,0,0,0,0,0,0,0
"C_Org",0.3643,0,0,0,0.2914,0,0,0,0,0,0,-0.3878,0,0,0,0,0,0,0,0.2734,0,0,0,-0.1336,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,-0.5734,0,0,0.178,0,0,0,0,0,0,-0.2672,0.3163,0,0,0.553,0,0,0,-0.5386,0,0,-0.2891,0,-0.5117,0,0,0,0,0.4206,0,0
"C_Rspnbl",0,-0.3626,0,0,0,0,0,0.7004,0,0,0,0,0,-0.9346,0,0,0,0,0,0,0,0,-0.2061,0,0,-0.1031,0,0,-0.476,0,0,-0.2781,0,0
"N_Anxty",0,0,0.2678,0,0,0,0,0,0,0,0,0,-0.5398,0,0,0,0,0.2772,-0.2368,-0.2566,-0.276,0,0,0,0,0,0.2768,0,0,0,0,0,0,0
"N_Depr",0,-0.15,0,0,0,0,0,0,0,0,0,0,-0.1829,-0.1186,0,0,0,0,-0.3771,0,0,0,0,0,0,-0.2477,0.1277,-0.2418,0,0,-0.4117,0,0,0.3875
"N_EmoVol",0,0,0.2978,0,0,0,0,0,0,0.2005,0,0,0,0,0,0,0,0,0,0,0,0,0.2978,0.1589,0,0,-0.2417,0.4136,-0.0187,0,0,-0.4357,-0.1953,0
"O_IntCur",0,0,0.499,0,-0.1498,0,-0.3822,0,0,0.6086,-0.3215,-0.5879,0,0,0,0,0,0,-0.2932,0,-0.1007,-0.3475,0,0,-0.144,0,0,0,-0.2281,-0.5167,0,0,-0.5741,0
"O_AesSens",-0.5298,0,0,0,0,0,0,0,1.4792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4507,0,0,0
"O_CrtvImag",0.4912,0,0,0,0,0,0,0,0,0,0,0,0.1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,0,0,0,0,-0.091,0,0
"angry",0,0,0,0,0,-0.303,0,0,0,0,0.5909,0,0,0,0,0,0,-0.2214,0.175,0,0,0,0,0,0.1922,0.2001,0,0.3422,0,0,0,0,-0.4591,-0.2756
"sick",0,0,-1.1489,0,0,0,0,0,0,0,0.5534,0,0,0,0,0,0,0,0.3962,0.4176,0,0,0,0,-0.2105,0,-0.5265,-0.5061,0,0.2618,0,0,0.5538,0
