"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","sick","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","sicklag","angrylag"
"E_Scblty",0,0,0,0,0.0596,0,0,0,0.1104,0,0,0,0,0,0,0,0,0.1159,0,0,0,0,0,0.1505,0,0,0,0.1112,0.0768,0,0,0.1593,0,0.113
"E_Assert",0,0,0,0,0,0.1517,0,0,0,0,0,0.1308,0,0.1304,0,0,0,0,0.1561,0.2231,0,0,0,0,0,0,0,0,0,0,0,0.2024,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0907,0,0.117,0,0,0.093,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0.131,0,0,0,0,0,0,0,0.1081,0,0,0,0.1057,0,0.2289,0,0.1484,0,0,0.1066,0,0,0,0,0,0,0,0,0,0,0.1403,0,0
"A_Rspct",0,0,0.182,0.1647,0,0,0.2143,0.1268,0.1814,0,0.1442,0,0,0,0.202,0,0.1416,0,0,0,0,0.0988,0,0,0,0.1597,0,0,0,0,0.1228,0.2018,0,0
"A_Trust",0,0,0,0,0,0,0,0.0907,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0.1108,0,0,0,0,0,0.0768,0,0,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0.0846,0.0743,0,0,0,0,0,0,0,0,0.0686,0,0,0,0,0.0895,0.063,0,0.064,0,0,0.153,0.0543,0,0.1126,0
"C_Prdctv",0,0,0,0.1039,0,0,0.155,0,0,0.0915,0,0,0,0,0,0.1978,0,0,0.1366,0,0,0,0.1366,0,0.1288,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0.0965,0,0.0833,0,0,0.1473,0,0,0,0,0,0.2097,0.0749,0,0,0.1192,0,0,0,0,0.0641,0,0,0,0.1133,0,0.1053,0,0.2248,0,0.1245,0,0
"N_Anxty",0.1284,0.1584,0.1418,0,0,0,0.1587,0,0.1486,0,0,0.0951,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1395,0.0811,0,0,0,0,0.1426,0,0
"N_Depr",0,0.1042,0,0.0964,0,0,0,0,0,0,0,0.071,0.2462,0.0791,0,0,0.0836,0.1075,0,0,0,0,0,0,0,0.1148,0,0.0812,0.0753,0.2104,0.0767,0,0,0
"N_EmoVol",0.4352,0,0,0,0,0,0.4258,0,0,0.5715,0.3849,0,0,0.2914,0,0,0.4858,0,0,0.4013,0.2817,0,0,0.5556,0,0,0.3173,0.3314,0.4672,0,0,0,0,0
"O_IntCur",0,0,0.0624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362,0,0,0.1114,0.0392,0,0,0
"O_AesSens",0,0.0769,0.0325,0.0432,0,0.065,0.0352,0,0.0392,0.0303,0.0485,0,0,0,0.0856,0.0558,0.0243,0,0.048,0,0.0427,0.0209,0.0437,0.0636,0.0345,0.0593,0,0.0305,0.0328,0.0927,0.0392,0,0.0626,0
"O_CrtvImag",0,0,0.0807,0,0,0.0699,0,0,0,0.0471,0.0674,0,0,0.0585,0,0,0,0,0.0708,0,0.0573,0,0,0,0,0,0,0,0.0594,0,0,0.0917,0,0
"angry",0,0,0,0,0,0,0,0,0.1684,0,0,0.1258,0.2842,0,0,0,0,0,0,0,0.1247,0,0,0,0,0.1415,0,0,0,0.2834,0,0.1445,0.2075,0.152
"sick",0.0686,0,0.0778,0,0,0,0,0,0,0.0563,0,0,0,0,0,0,0,0.0717,0.074,0,0,0.0447,0,0,0,0,0,0,0,0,0,0.0906,0.1246,0.0869
