"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","sick","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","sicklag","angrylag"
"E_Scblty",0,0,0,0,0,0,0,0.1788,0,0,0,-0.2172,0,0,0,0,-0.3974,-0.0393,0.245,0,-0.2001,0,0,0,0,0,0,0.436,0,0,0,0,-0.3975,0.1637
"E_Assert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2287,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0.474,0,0,0,0,0,0,0,0.7771,0,0,0,0,0,-0.9859,0,0,0,-0.3935,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0.1383,0,0,0,0,0,0,0.1617,0,0,0,0,0,0,0,0.0551,0,0,0,-0.2908,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0.188,-0.4016,0,0,0,0,-0.5331,0,0,0,0,0,0,0,0,-0.3738,0.2479,0,0.3412,0,0,0,0,0.3827,0,0,0.3183,0,0
"A_Trust",0,0,0.3241,0,0,0,0,0,0,0,0,0,0,0.2066,0,0,0,0,0,0,0,0,0.0045,0.2293,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0.1995,0,0.2165,0,0,0,0,0.2732,0,0,0,0,0,0,0,0,0,0,0,-0.2279,0,0,0.0642,0,0,0,0,0,0,0,0.3151,-0.2605,0
"C_Prdctv",0,0,0.499,0,0,0,0,0,0,0.3675,0,0,0.6707,0.1814,0.3507,0,0,0,0,-0.3216,0,0.1947,0,0,-0.1069,0,0,-0.4939,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,-0.371,0,0,0,0,-0.5079,0,0,0,0,0,0,0,0,-0.1653,0,0.3206,0,0,0,0,0,0
"N_Anxty",0,0,-0.7143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2495,0.4061,0,0,0,0,0,0
"N_Depr",0,0,0,-0.3452,0,-0.4212,0,0,0,0,0,0,0.5364,0,0.7438,0.4458,0,0,0,0,0,0,0,0,0,0,-0.3145,-0.3076,0,0.5723,0,0,0.4381,0
"N_EmoVol",0,0,0,-0.191,0,0,0,0,0,0,0,0,0,0.1993,0,0,-0.0808,0,0,0,0,0,-0.4399,0,0,0,-0.213,0,0.3465,0,0,0,0,0
"O_IntCur",0,0,0,0,0,0,0,-0.8627,0,0,0,0,0,0,0.5501,0,0,0,0,0.0489,0,0,0,0,0,0,0,0,0,0.1047,0,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0,0.3406,0,0,0,0,0,0,0,-0.2152,0,0.3262,0.303,0,0,0,0.2681,0,0,-0.0454,0,0,0.2768
"O_CrtvImag",0,0,0,0,0,0,-0.2424,0,0.2406,0,-1.1408,0,0,0,0,0,0,0.3064,0,0,0,0.1673,0.064,-0.3629,0,0,-0.2123,0,0.2604,-0.3261,0.2679,-0.3227,0,-0.422
"angry",0,-0.4389,0,0,0,0,0,0,0.6418,0,0,0.4344,-0.3924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2358,-0.4814,-0.5079,-0.009
"sick",0,0,0.4535,0,0,0,-0.299,0,0,0,0,0.3341,-0.1853,0,0,0,0,0,0,0,-0.2295,0.2737,0,0,0,0,-0.3006,0,0.5099,0,0,0,-0.1764,0
