"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","sick","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","sicklag","angrylag"
"E_Scblty",0,0,0,0,0,0,0.1547,0,0.2401,0,0,0,0,0,0,0,0,0.1103,0,0,0.2485,0,0,0,0,0,0,0,0,0,0.1029,0.1558,0,0
"E_Assert",0,0,0,0,0.1947,0,0,0,0,0,0,0.2008,0,0,0,0,0,0,0.1267,0,0.2598,0,0,0.1638,0.1984,0.2598,0,0.2014,0,0,0.1317,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1414,0,0,0.1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0.0559,0,0,0,0,0,0,0,0,0.1709,0,0,0,0,0.1659,0,0,0,0,0,0.152,0.0941,0,0,0,0,0,0,0.1213,0,0,0,0,0
"A_Rspct",0.086,0.1149,0,0,0,0,0,0,0.1733,0,0,0,0,0,0,0,0.3273,0,0,0.1442,0.216,0.1095,0.2337,0,0.1615,0.2237,0.2169,0,0.2476,0.0793,0.0891,0,0,0.3468
"A_Trust",0.0157,0.0076,0.0094,0.0166,0.0185,0,0.0134,0.0146,0.0283,0.0263,0.0188,0.0146,0.0107,0.0061,0.0123,0.0211,0.0277,0,0.0124,0.0116,0,0.0161,0.0234,0.009,0,0.0176,0.0162,0.0263,0,0,0.0089,0.008,0.0341,0.0263
"C_Org",0,0,0,0,0,0,0,0,0,0,0,0,0,0.7266,0.3154,0,0,0,0.2113,0,0,0,0,0.2795,0.3689,0,0,0.4298,0,0,0,0,0,0
"C_Prdctv",0.0689,0.0673,0,0,0,0,0.0899,0,0.137,0,0,0,0.0472,0,0,0,0,0,0,0,0.163,0,0,0,0.104,0,0,0,0,0,0.0662,0,0,0
"C_Rspnbl",0,0,0,0,0,0.1219,0,0,0,0,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1305,0,0,0,0.0455,0,0,0,0
"N_Anxty",0,0,0,0.084,0.0447,0.0769,0,0,0.0675,0,0.0694,0.0576,0,0,0.0592,0,0,0.0383,0,0,0.0932,0.0472,0.0592,0.0515,0.055,0.0824,0.1015,0,0,0,0.035,0,0.1123,0
"N_Depr",0,0.0668,0.0978,0,0,0,0.0893,0,0,0,0,0.1102,0,0,0,0,0.1592,0,0,0,0,0,0,0,0,0,0.1437,0.1311,0,0.0517,0,0,0,0.1374
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1952,0.1439,0,0.0673,0.1089,0.143,0,0,0,0,0,0,0,0.1083,0,0,0,0,0
"O_IntCur",0,0,0,0,0.1593,0,0,0,0,0,0,0,0,0,0.2174,0,0,0.1285,0,0,0,0.1828,0,0,0,0,0,0,0,0.1215,0,0,0,0
"O_AesSens",0,0,0,0,0,0,0.3417,0,0.3506,0.4201,0,0,0.1183,0,0,0,0,0.1602,0.1616,0,0,0,0,0,0,0,0,0,0,0.1341,0.1586,0,0,0
"O_CrtvImag",0,0,0,0.3605,0.135,0.2479,0.1555,0.1541,0,0,0.1936,0,0,0,0,0,0,0,0,0,0,0,0,0.1599,0,0,0,0.1894,0.1872,0,0.1087,0.1592,0,0
"angry",0,0.0578,0,0,0.0741,0,0.064,0,0,0,0.1111,0.0818,0,0.0409,0,0,0,0,0,0,0,0,0.0918,0.06,0.0946,0.1057,0.1025,0,0,0.0493,0,0,0,0.1069
"sick",0,0,0,0,0,0.0901,0.0703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1623,0
