"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","angrylag"
"E_Scblty",0,0,0,0.2578,-0.0785,0,-0.2071,0,0.1983,0,0,0,0,0,0,0,0.2588,0.3247,0,0,0,0.3093,0.2357,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,-0.0432,0,0,0,0.6673,0,0,0,0,0,0,-0.0598,0,-0.0379,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2005
"E_EnerLev",0,0,0,-0.2262,0,0,0,0.946,0,0,0,0,0.3067,-0.9332,0.2805,0,0,0,0.239,0,-0.4583,0,0,-0.4895,-0.3215,0,0,0,0,0.5076,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0.2629,-0.2947,0,0,0,0,0.4029,0,0,0,0,0.1121,0,0,0,0,0,0.216,0,0,0.4565,0,0,0
"A_Rspct",0,-0.1931,-0.2572,0.1521,0,0,0,0,-0.4627,0.1353,0,0,0,0.1525,-0.1877,0,0,-0.3473,0,0,0.2362,-0.1275,-0.5504,0,0.112,0,-0.646,0,0,0,0,0.8518
"A_Trust",0,0,0,0,0,0,0.1091,0,0,0,0,0,-0.1524,0,0,0,0,-0.2016,0.3746,0,0,-0.1277,0.3487,0,0,0,0,-0.1642,0,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0,0,0,0.8314,0,0,0,0,0,0,0,0,0,-0.448,-0.0654,0,0,0,0,0,0,0,0,0
"C_Prdctv",-0.0339,0.3762,0,0,-0.3382,0,0,0,0.4274,0,0.8007,0,-0.1197,0,0.4199,0,0,0,0,0,0.1788,0,0,-0.198,0,0,0,0,0,0,0,-0.3082
"C_Rspnbl",0,-0.0079,0,0,2.6672,0.6793,0,-0.7389,0,-2.4364,1.8629,-0.8988,0,-1.433,2.2727,0.8119,1.0566,0,0,0,0,1.3655,1.0571,0.4303,-0.814,1.1263,0.3799,-1.1127,1.2302,1.3949,-1.13,-2.7013
"N_Anxty",0,0,0,0.7206,0,-0.4209,0.2086,0.162,0.3713,0,0.3612,0.6778,-0.0291,-0.2425,0,-0.2618,0.4033,0,0.3671,0,0.1801,-0.1625,0.5401,0,0,-0.2426,0,0,0,0,-0.4707,0
"N_Depr",0,0,0,0,-0.1656,0,-0.5722,0,1.4475,0,0,0.2502,-0.524,0.4288,-1.4253,-1.857,0,0.5869,0,-1.0353,0,0,0,-0.7384,0,0,1.1955,0,0,0,0.8564,0.6609
"N_EmoVol",0,0.4992,0.4478,0,-0.2754,0,-0.4647,-0.0753,0,0,0,0,0,0,0,0.4069,0,0,0,-0.3164,0,0.8827,0.0211,0,0,-0.442,0,0.0923,0,0,0.6604,0
"O_IntCur",0,0,0,0,0,0,0,0,0,-0.4527,0,0,0,0,0,0.1627,0,-0.2524,-0.1049,0,0.3813,0,0,-0.2419,0,0.1315,0,0,0.3629,0.2546,0,0
"O_AesSens",0,0.0933,0,0,0,0.1889,0.1121,0.1461,-0.172,0,-0.2419,0.436,0,0,0,0.249,0.1994,0,0,0,0,0,0,0,-0.6481,0.2903,0,0,0.1183,-0.0075,0,0
"O_CrtvImag",0,0,0,0,0.4067,0,0,0,0,0,0,0,0,0,0,0,0,0.1674,0,0,0,0,0,0,0,0,0,0,0,0,0.1365,0
"angry",0.9013,0,1.178,0,0,0,0,0,-0.8107,0,1.6621,-0.7278,-0.7047,0,0,0,-0.3816,-1.4199,0,0,0.5925,0.2085,0,0,0,0,0,0,0,0,0,0.2193
