"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","angrylag"
"E_Scblty",0,0.1179,0,0,0,0.191,0,0,0.1691,0,0,0,0,0,0,0,0.1088,0,0.0948,0.1517,0.1949,0.2072,0,0,0,0,0,0,0,0,0,0.2022
"E_Assert",0,0,0,0,0.1709,0.1616,0,0,0,0.1058,0,0.1658,0,0,0,0,0.0847,0.1333,0,0,0,0,0.1367,0,0,0,0,0,0,0,0.1156,0
"E_EnerLev",0,0.1394,0,0,0,0,0.1697,0.0997,0.1825,0,0,0,0,0.2048,0,0,0,0,0.1049,0,0,0,0,0.0974,0,0,0.1784,0,0,0.1593,0,0
"A_Cmpn",0.04,0.03,0,0,0.0862,0,0,0.0258,0.0869,0,0.1546,0,0,0.0629,0.0522,0.0866,0.0443,0,0.0483,0.1584,0.1063,0.09,0,0.0192,0.1599,0.0406,0,0,0,0.0996,0,0
"A_Rspct",0,0,0,0,0,0,0,0.0394,0.0808,0.0611,0,0,0,0,0,0,0,0,0.0535,0,0.1177,0.0999,0,0,0.0985,0,0,0,0,0,0,0
"A_Trust",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1027,0,0.1018,0,0,0,0,0,0.124,0,0,0,0,0,0,0.0541,0,0,0
"C_Org",0,0,0,0,0,0,0,0.0548,0,0.0671,0,0,0,0,0,0.1027,0,0.0763,0,0,0.1284,0,0.0846,0,0.1304,0.0652,0,0.1255,0,0,0.0701,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1163,0,0,0,0.2086,0.1209,0,0,0
"C_Rspnbl",0,0,0,0.5187,0,0.2698,0,0.1024,0,0,0,0,0,0.2923,0,0,0,0,0,0,0,0,0.2886,0.123,0.2678,0.2233,0,0,0,0,0,0
"N_Anxty",0,0.0867,0,0,0,0,0.0898,0,0,0,0.107,0,0.0713,0.092,0,0,0.0632,0,0,0,0,0.1477,0,0,0,0.0731,0,0.1134,0,0.1164,0,0
"N_Depr",0,0,0.0293,0.0335,0,0,0.0647,0.034,0,0.0591,0,0.0472,0.032,0,0.0421,0,0.0319,0,0.023,0.0694,0.076,0,0.0397,0,0.0691,0.0395,0.0689,0,0,0,0,0.0533
"N_EmoVol",0,0,0,0.1093,0.1318,0,0,0,0,0,0.1124,0,0,0,0,0,0,0,0,0,0,0,0.1151,0,0,0,0,0.1033,0,0,0,0
"O_IntCur",0.101,0,0.0989,0,0,0,0,0,0,0.1718,0,0.1841,0,0,0.144,0.1942,0,0,0,0,0,0,0,0,0,0,0,0,0.1118,0,0,0
"O_AesSens",0,0,0.0848,0,0.153,0,0,0,0,0,0,0.1433,0,0,0.0962,0.1369,0,0,0.0783,0.0935,0,0,0,0.0628,0,0.1095,0,0,0,0.1298,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1403,0,0,0,0,0,0.1611,0,0,0,0.1114,0.184,0,0,0,0.1278,0.176
"angry",0.0238,0.0315,0,0.0432,0,0.0552,0,0,0.0539,0.0316,0.0478,0,0.0321,0.0317,0,0,0.0259,0,0.0231,0,0,0.0578,0.0302,0,0.05,0,0,0.0633,0.02,0,0,0.0431
