"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","angrylag"
"E_Scblty",0,0,0,0,0,0.1436,0.1239,0,0,0,0,0,0,0.1327,0,0.5366,0.1362,0.1193,0,0,0,0,0.0997,0.0855,0,0.2997,0,0,0,0,0,0.5439
"E_Assert",0,0,0,0,0,0.1249,0,0,0,0.6137,0,0,0,0,0.1357,0,0,0.1144,0.0678,0.1068,0,0,0,0.087,0.1172,0.299,0,0.1744,0.1193,0,0,0.5555
"E_EnerLev",0,0,0,0,0,0,0,0.4077,0,0,0,0.5707,0,0,0,1.7491,0,0,0.1319,0.2775,0.956,0,0,0,0,0,0,0,0,0,0.2739,0
"A_Cmpn",0,0,0,0,0.2154,0.1644,0.119,0.088,0.1194,0,0.4029,0.2132,0.1441,0.1294,0,0,0.1547,0.1391,0,0.1065,0.2744,0,0.1084,0.1023,0,0,0.5325,0,0,0.1063,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0.17,0,0,0.0793,0,0,0.0738,0,0.0262,0,0.1237,0,0,0.051,0,0,0,0.0827,0,0,0,0
"A_Trust",0,0,0,0,0.1574,0,0,0,0.0922,0,0,0.1478,0,0,0,0,0.0971,0.095,0,0.0798,0.1872,0.0992,0,0,0,0,0,0,0.0991,0,0,0
"C_Org",0.0176,0.0063,0.0091,0.0091,0,0.0107,0,0.0203,0.0091,0.0666,0.0409,0.031,0.0135,0.0126,0.0107,0.0424,0.0137,0.0135,0.0058,0.0171,0.0254,0.0238,0.0137,0,0.0207,0,0.1109,0.0132,0.0249,0.0073,0,0.0441
"C_Prdctv",0.2178,0,0.1364,0,0,0,0,0,0,0,0.8298,0,0,0,0,0,0.2239,0,0,0.2103,0,0.2882,0.2188,0.1542,0,0.5123,0,0,0.2541,0.2205,0,0
"C_Rspnbl",0.1122,0,0.047,0,0,0,0,0,0,0,0,0,0,0.109,0.0741,0,0,0,0,0,0,0,0,0.0709,0.1021,0.2702,0.307,0.1327,0,0.0872,0,0.5262
"N_Anxty",0,0.0518,0,0,0,0,0,0.0226,0.0387,0,0,0,0.0374,0,0.0334,0.171,0,0,0.0204,0,0.0885,0.0417,0.0348,0,0,0.0924,0,0,0,0,0,0
"N_Depr",0.0763,0,0.0486,0,0,0,0.0919,0,0,0,0,0,0,0,0,0,0,0,0.0368,0,0.1184,0,0.0621,0,0.0706,0,0.2479,0.0883,0,0.0547,0,0.3378
"N_EmoVol",0.1132,0,0,0.0986,0,0.0942,0.0938,0.0589,0.0995,0.2784,0,0,0,0,0.0964,0.4386,0,0,0,0.0741,0.22,0.0961,0,0,0.0903,0.2129,0.2592,0.1326,0.0995,0,0.0697,0.4534
"O_IntCur",0.1627,0,0,0.2025,0,0,0.2013,0.0966,0,0,0.4822,0,0,0,0,0,0.1435,0,0.0844,0,0,0,0.1568,0,0,0,0,0,0.1777,0,0.1057,0.7479
"O_AesSens",0,0.103,0,0,0.2404,0.1367,0.1014,0,0,0.3252,0.2984,0,0.1145,0,0,0,0.1252,0,0,0.0976,0,0.1266,0,0.0796,0,0.2818,0,0.1553,0,0.0865,0,0
"O_CrtvImag",0,0.2455,0,0.1501,0,0,0,0,0,0,0.478,0.2744,0,0.1519,0,0,0,0,0.0671,0.1459,0,0,0,0.1154,0,0,0.6233,0.2117,0,0.1238,0.1087,0.7963
"angry",0,0.0236,0,0,0,0,0,0,0.0219,0,0,0,0,0.0204,0,0,0.0205,0.0215,0,0,0.0369,0,0,0,0.02,0,0.0626,0,0.0204,0.0179,0,0.1107
