"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","angrylag"
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0.1439,0,0.3116,0.1548,0,0,0.1625,0.1992,0,0.1617,0.1149,0,0,0,0,0.1552,0,0,0
"E_Assert",0,0,0,0,0,0,0.1775,0,0,0,0.2977,0.2249,0,0,0,0,0.1205,0.1515,0,0,0.1704,0,0.1301,0,0,0,0,0,0.1212,0,0,0
"E_EnerLev",0.0484,0,0,0,0.0773,0,0,0.0649,0,0,0.126,0,0.058,0,0.0442,0,0.0551,0,0.0994,0,0,0.077,0,0,0.0976,0,0,0,0,0,0,0.0786
"A_Cmpn",0,0,0.3561,0,0,0,0,0,0,0.3606,0.6333,0,0.2626,0.193,0,0.4042,0.1732,0,0,0.2271,0,0,0.2453,0,0,0.337,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0.0829,0.089,0,0.1534,0,0.1472,0,0.0878,0.0664,0.1627,0,0,0,0.093,0.1146,0,0.1061,0.068,0.1306,0.1488,0.1883,0,0,0.0998,0,0
"A_Trust",0,0.0983,0,0.1047,0,0,0.099,0,0.1441,0,0,0.1525,0.0927,0.0897,0.0612,0,0,0,0,0.1143,0,0.1378,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0.2646,0,0,0,0,0,0.1434,0,0.3517,0,0,0.181,0,0,0,0,0,0,0.1641,0,0,0.156,0,0.2216,0.2615,0,0,0,0.1579,0,0
"C_Prdctv",0.1138,0.1456,0.4001,0.1442,0.2131,0,0,0,0,0.2047,0.3236,0.2195,0,0,0,0,0,0,0,0,0,0,0,0.1023,0.2609,0.2223,0,0,0.1235,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0.0795,0,0,0,0.1741,0,0,0,0,0,0,0,0,0,0,0.1064,0.0813,0,0.1223,0,0.1541,0,0.0713,0.0862,0,0
"N_Anxty",0,0.0806,0,0,0,0,0,0,0.0852,0,0,0,0,0.0539,0,0,0,0,0,0.0633,0.0784,0,0.0674,0.0444,0.0779,0.0941,0,0,0,0,0,0
"N_Depr",0.0153,0.0182,0.0299,0.0263,0.034,0.0124,0.0122,0.012,0.023,0.0194,0,0.0288,0,0.0187,0.0091,0.0289,0.0229,0,0.0421,0.0105,0.0148,0,0.0238,0.0107,0.0317,0.0245,0.036,0.0205,0.013,0.0129,0.0132,0.0361
"N_EmoVol",0,0,0,0,0.1447,0,0,0,0,0,0.331,0,0,0,0,0.2529,0,0,0.2239,0,0,0,0,0,0,0,0,0.1666,0.113,0,0.07,0.1387
"O_IntCur",0.0783,0.1118,0,0,0.1408,0,0.122,0.1017,0.1525,0.1814,0.2081,0.1693,0,0.1259,0.0617,0,0.1132,0.122,0,0.099,0.1325,0.1399,0.1296,0.0978,0.1509,0.1802,0,0,0.0951,0.1042,0.0979,0.1437
"O_AesSens",0,0,0.3037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1367,0.1191,0,0.1832,0,0.2669,0.2155,0.1159,0.1247,0,0
"O_CrtvImag",0,0,0,0.1765,0,0,0,0.1601,0.2209,0,0,0.2599,0.1608,0,0,0.2659,0.1594,0,0,0,0,0,0.1682,0,0.2517,0.2548,0.3101,0,0,0,0.1182,0
"angry",0.0675,0.06,0.1233,0.0718,0.103,0.064,0.0466,0,0,0.0875,0.1103,0.1008,0.0848,0.0759,0,0,0.0638,0.0767,0.0973,0,0,0,0.1027,0.0361,0,0,0.1248,0.0966,0.0515,0.0488,0,0.0907
