"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","angrylag"
"E_Scblty",0,0,0.1813,0,0,0,0,0,0.182,0,0,0,0,0.1715,0,0,0.1534,0,0,0,0,0,0,0,0,0,0,0.156,0.1833,0,0,0
"E_Assert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1064,0,0,0,0,0,0,0.1358,0,0,0,0,0,0,0
"E_EnerLev",0,0.1251,0,0,0,0,0,0,0,0,0,0.1645,0.1661,0.2358,0,0,0.1303,0,0.1716,0,0,0,0,0,0,0.1243,0,0,0,0,0.1666,0
"A_Cmpn",0,0.084,0.1024,0,0.1401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114,0,0,0,0,0,0,0,0,0,0,0,0.0556
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0.042,0,0,0.0524,0.0506,0,0,0,0,0.0579,0.0829,0.0454,0.108,0,0.0577,0,0.0457,0,0,0.0495,0,0.0362
"A_Trust",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0852,0,0,0,0,0.0805,0.1893,0,0,0,0.0805,0,0,0.0872,0.0897,0.0614
"C_Org",0,0,0.0592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0681,0,0,0,0.1096,0,0,0.0516,0,0,0,0,0,0
"C_Prdctv",0.0856,0.0803,0.0993,0,0,0,0,0,0,0,0,0,0,0,0,0.0764,0,0,0.1214,0.1056,0,0.08,0,0.1049,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0.0812,0,0,0,0,0.0921,0,0.1035,0,0,0,0,0.0854,0,0.1064,0.1307,0.0818,0,0,0.1052,0,0,0,0,0,0.0901,0
"N_Anxty",0,0,0,0,0,0,0,0,0.1451,0,0,0,0,0.1082,0,0.0992,0.1021,0.128,0,0,0.1729,0,0.276,0,0,0.1106,0,0,0,0.1116,0,0.0809
"N_Depr",0.1623,0,0,0,0,0,0,0,0.2696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,0,0.1479,0.1302,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0.0719,0,0,0,0,0,0,0,0,0,0,0,0,0.1013,0,0,0,0.0992,0,0,0.0929,0
"O_IntCur",0,0,0.0987,0,0,0,0,0.1109,0,0,0,0,0,0,0,0,0,0,0,0.0881,0,0.0798,0,0,0.096,0.0739,0.0666,0.09,0.0906,0,0,0.0607
"O_AesSens",0.0512,0.0393,0.0928,0.0562,0.085,0.0819,0.0913,0.0626,0.0595,0,0.0596,0.0698,0.0467,0,0.0635,0.058,0,0.0522,0,0.049,0.0543,0,0.1363,0.0447,0.0474,0.0502,0.0536,0.0461,0,0.061,0.1014,0.0642
"O_CrtvImag",0,0,0.1831,0,0,0,0,0,0,0,0,0,0,0,0,0.1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1672,0
"angry",0.1024,0,0,0,0,0,0.2119,0.1161,0.1181,0,0,0.1076,0.1218,0,0.1291,0,0,0,0,0,0.1596,0,0.2271,0,0.1197,0.1112,0,0.1364,0,0.1145,0,0.0767
