"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","angrylag"
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1139,0.0954,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.0798,0,0,0,0,0,0,0,0.1004,0.0822,0,0,0,0,0.1269,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0.1639,0,0,0,0,0.1252,0,0,0.1204,0,0.0937,0,0,0.1313,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0.1269,0,0.0928,0,0,0,0,0,0,0.1101,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0,0,0,0,0,0,0,0,0.1025,0,0,0,0,0,0,0.1208,0,0,0,0.1045,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0,0.1182,0,0,0,0,0,0.0669,0.098,0,0,0,0.0677,0,0.0935,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0.0862,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0.0757,0.095,0,0,0,0,0,0,0,0,0,0,0,0.1083,0.105,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0.0568,0,0,0,0,0,0,0,0.0677,0,0,0,0,0,0,0.1028,0,0.0831,0,0,0,0
"N_Depr",0,0,0,0,0.0845,0,0,0,0,0,0,0.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0925,0,0,0.0816,0,0
"N_EmoVol",0,0,0.0769,0,0,0.0711,0.0846,0,0,0.1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0882,0.0638,0,0,0
"O_IntCur",0,0,0,0,0,0.0994,0,0,0,0,0.0958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0995,0,0,0
"O_AesSens",0,0,0,0,0,0.0992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1564,0,0,0,0,0,0.0969,0,0
"O_CrtvImag",0,0,0,0,0.0689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1078,0,0,0,0,0,0,0,0.1069,0
"angry",0,0,0,0.0814,0,0,0,0,0,0,0.0891,0,0.0855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0892
