"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","angrylag"
"E_Scblty",0,0,0,0,-0.54,0,0.3544,0,0,-0.3749,-0.3885,0,-0.1857,-0.0676,0,0,-0.2752,0.4058,0,0,0,0,0,0,0.4742,0,0,0,0,0,0.3747,0
"E_Assert",0,0,0,0,0,-0.6534,0,0,0,0,0,0,0,0,0,0,0,0.0046,0,0,-0.216,-0.3226,0,0,0,0.5289,0,0,0.3393,0,0,-0.3581
"E_EnerLev",0.2969,0,0,0.1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3764,0,0,0,-0.1571,0,0,0,0,0,0.3887,0,0,0
"A_Cmpn",0,0,0,0,0.7463,0,0.3717,0,0,0.2774,0,0,0,0,0,0,0,0,0,-0.181,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0.2186,-0.4396,0,0,0,-0.1739,0.0933,-0.3089,0,-0.6482,-0.3788,0.3463,0,0,0,0,0.1897,0,-0.2037,-0.4265,0.2648,0.3273,0.7205,0,0,-0.2487,0,0,0,0
"A_Trust",-0.4689,0.3475,0,0.189,0,0,0,0.0848,0.4669,0.8703,-0.1142,0,0.9487,0,-0.56,-0.1764,0.4552,0.5435,0,0,0,0.4032,-0.2082,-1.0474,0.2775,-0.1183,0.2637,0,-0.1373,0.5484,-0.1942,-0.0101
"C_Org",-0.4566,0,-0.1701,-0.386,0,0.1512,0,0,0,0,0,0.4163,0,0,0.2557,-0.3599,0.0495,0,0.2456,0,-0.854,0,-0.1554,0,0.204,0,-0.1776,-0.8454,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3993,0,0,0,0,0,0,-0.134,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.412,0,0,0,0,0,0.1215,0,0,0,0,0,0,0
"N_Anxty",0,0.5355,0.1664,0,0,-0.3205,0,0,0,0,0.3775,0.6177,0,0,0,0,0,0,0,0,0,0,0,0.2037,0,-0.0489,0,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,-0.8756,0.8409,0,0,0,1.6258,2.0978,0,-0.8714,-1.6715,0,0,-0.5749,0,0,0,0,0,0,0,1.5294,0,0,0,0,-0.9134
"N_EmoVol",0,0,0,0,0,0,-0.3534,0,0.2109,0,-0.9619,0,0,0,0,0.941,0,0,0,0,0,0,0,0,0,0,0,-0.1266,0,0,0,0
"O_IntCur",0.3927,0,0,0,0,0,0,0,0,0.0266,-0.7198,0,0,0,0,0,-0.5732,0,0,0,0,0,0,0,0,0,0,0,0.2837,0,0.3398,0
"O_AesSens",0,0,0,0,0,0,0,0,0.1469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2994,-0.2221,0,0.3897
"O_CrtvImag",0,0.3115,0,0,0,0,-0.0328,0,0,0,0,0,0,0.2103,0,0.2632,0,0.5121,-0.3369,0.2486,0,0.2864,-0.2292,0,0.3989,0,0,0,0,0,-0.2997,0
"angry",-0.2933,0,0.3795,0,0.1765,0.0922,-0.3087,0,0,-0.6685,0.7588,-0.5183,0,0,0,0,0.3545,-0.4,0.8185,-0.4054,0,0.538,1.0361,0.2734,0,0.4913,-0.7949,-0.5903,-1.0833,-0.7385,0,1.3587
