"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","angrylag"
"E_Scblty",0,0.2259,0,0,0,0,0,0,0,0,-0.4518,0,0,0,0,0,0.1532,0,0,0,-0.3493,-0.2466,-0.2243,0,0,0,0.1367,0,0,-0.625,0.3033,0
"E_Assert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3502,0.0701,0,0,0,0.2379,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",-0.2689,0,0,0,0,0,0,0.4903,0,0,0,-1.0094,0.486,-0.3866,-0.4806,0,0,0,0.0148,0,0,0,0,0,0,-0.1445,0,0,0,-0.4339,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.197,-0.2979,-0.2113,-0.172,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0.5069,0,-0.5498,0,0,0,-0.3775,0,0,0.1903,0,0,0,0,0.6181,0,0,-0.441,0,0.3867,-0.0939,0,0,0,0,0.2348,0,0,0.2547,0,0,0
"A_Trust",0,0,0,0,0,0,0,0,0,0,0,0.3542,0.0203,0,0,0,0,0,0,0,0,0.2401,0,0,-0.3045,0.3175,0.4541,-0.6049,0.2523,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2219,0,0,0.4179,0,0,-0.2476,0.3188,0,0.3482,-0.1945,0,0,0,0,0,0,0,0.5414
"C_Prdctv",0.2331,0,0,0,0.4368,0,0,0,-0.0041,0,0.407,0,0,0.2708,0,0,0,0,0,0.187,0.4343,0,0.4615,-0.4872,0,-0.2098,0,0,-0.5,0.7534,0,0
"C_Rspnbl",0,0,0,0,0,0,-0.2823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1348,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0.1773,0,0,0.3297,0,0,0,0,0,0,0,0.4254,0,0,0,0,0,-0.2419,0.1673,0,0,0.2105,0,0,0,0,0,0
"N_Depr",0.2848,-0.3039,0,0,0,0,0.2711,0,0.1085,0.2104,0,0.5228,-0.301,0.5645,0.2445,0.2326,0,0,0.5696,0.282,-0.2175,0,-0.6191,-0.3653,0,0.5842,-0.2848,0.7206,0,0.2365,0.5496,0.0264
"N_EmoVol",0.3094,0,0.7102,0.6539,-0.5348,0,0,0,0,0,0,0,1.1371,0,0,0,0,0.7351,0,0,0,0,0,0.7172,0,0,0,0.094,0,0,0,0
"O_IntCur",0,0,0,0,0.3931,0,0.5027,-0.5043,0,0,0,-0.476,0,0,-0.5915,0,-0.2277,0.1217,0,0,0,0.4323,-0.2678,-0.3185,-0.7363,-0.6317,0,0,-0.4278,0,-0.2967,0
"O_AesSens",0,0,0,0,0,0,0,0,0.3626,0,-0.5268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3419,0,0.4193
"O_CrtvImag",-0.3338,0,0,0,0,0,0.3443,0,0,0,0,0,0,-0.2096,0,0,0,0,0.2651,-0.2089,0,0,0.1817,0,-0.2729,-0.3917,0,0,-0.1849,0,0.0078,0
"angry",0,-0.1765,0,0,0,-0.2888,0,0,0,0,0,0,0,0,-0.2923,0,0,0.5753,0,0,0,0,0,0,0,0,-0.253,0,0,0,0,0.213
