"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","angrylag"
"E_Scblty",0,0.5728,0,-0.5506,0,-0.5357,0.1498,0,0,-0.372,-0.171,-0.1843,-0.3709,0,-0.1599,-0.4003,0.1486,0,0,-0.8859,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3947,0.3862,0,0,-0.044,0,0,0,0.3123,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2557,0,0,0.0676,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2946,0,0,0,-0.2645,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0.3349,0,0,0.2368,0,0.2238,0,0,0,0,0,0,0,0,0,0.218,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0.5184,0.3171,0,-0.513,0,0,0,0,0,-0.4908,0,0,0,0,-0.6178,0,0,0,0,0,0,-0.038,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2796,0,-0.0449,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,-0.1965,0,0.2364,0,0,0.6489,0,0,-0.4508,0.3002,0,0,0,0,0,0,0,0,0,0,0.1284,0,0,0,0,0,0,0,0
"C_Rspnbl",0.3505,0,0,0,0,0.8413,0,-0.6057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443,0,0,0,0,-0.3716,0,-0.5362
"N_Anxty",0,0,0.3123,0,0,0,0,0,0,0,0,0.6615,0,-0.2641,0,0.2738,0,0,0.6024,0,0,0,0,-0.8373,0.4539,-0.4921,0,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,-0.406,0,0,0,0,0,0,0,0,0,0,0,0.4969,0,-0.4332,0,0,0.3867,0,0,0.0979,0,0,0,0,0.221
"N_EmoVol",-0.1687,0,0,0,0,0.5265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4432,0,0,0,0.1488,0,0,0,0
"O_IntCur",0,0.3246,0,0,0.2846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.206,0,0,0
"O_AesSens",0.2796,0,0,0,0,0,0,0.4818,0,0.4804,-0.3437,0.4813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399,0,0
"O_CrtvImag",0,0,0,0,0,0,-0.2346,0,0,0,0,0,0,0.4791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0504,0
"angry",0,0,0,0,-0.3067,0,0,0,0,0,0.231,0.542,0,0,0,0,0,0,0.1305,0,0.3391,0,-0.1198,0,-0.2747,0,0,0,0,0,-0.5375,-0.0408
