"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","angrylag"
"E_Scblty",0,0,0,0.382,0.1489,0.4972,0,-0.6735,0,0,0,0,0,0,0,-0.475,0.0986,0,0,0,0,0,0,0,0.3112,0,0,0,0,0,-0.1653,0
"E_Assert",0,0,0.2942,0.2848,0,0,0,0.5293,0,-0.4955,0,0,0,-0.2947,0,0,0,-0.0522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0.2819,0,0,0,0,0,0,0,0,-0.1831,0,0,0.4137,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,-0.2002,0,0,0,0,0,0,0,0,0.3374,0,0,0,0.1397,0,0,-0.3347,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.3361,0,0,0,0,0,0,0,0.3762,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0,0.3773,0,0,0,0,0,0,0,0,-0.4621,0,0,0,0,0,0,0,0,-0.2704,0,0,0,0,0,-0.3433,0,0.2474,-0.3101,0.2181
"C_Org",0.2986,0,0,0,0,0,0,0,0.9937,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4067,0,0,0.3635,0,0,0,0,0,0
"C_Prdctv",0,-0.2832,0,0,0,0,0,0,0,0,-0.4747,0,0.4057,0,0,-0.2593,0,0,0,0,0,0,-0.4659,0.0723,0.6281,0,0,0,0,0,0,0
"C_Rspnbl",0,0.4456,0,0,0,0.4515,-0.8639,0,0,0,0,0,0,0,0,0,0,0.3783,0,0,0,0.6766,0,0,0.3219,0,0,-0.1532,0,-1.2471,0.356,0
"N_Anxty",-0.3528,0,-0.2869,0,-0.1602,-0.5095,-0.3038,0,-0.1692,0,-0.3837,0.7323,0,0,-0.5077,-0.3515,0.0892,0,0,0,0,0,-0.3559,0,0,-0.054,0.356,-0.9171,0,0.1579,0.2134,0
"N_Depr",-0.5175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2342,0,-0.3342,0.3046,0,0,0.0427,0,-0.4753,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0.2395,0,0,0,0,0.2595,0,0,0,0,0,0,0,0,0,0,0,0.4487,-0.205,0,0,0
"O_IntCur",0,0,0,0,0,0,0,0,-0.08,0,0,0,0,0.3437,0,0,0,0,0,0,0,0,0,0,0,0.5127,0,0,-0.334,0.2874,0,0
"O_AesSens",0,0,0,0,0,0.2551,0,0,0,-0.4011,0,0,0,0,0,0,0,0,0,0,-0.5728,0,0,0,0,-0.1977,0.3385,0,0,-0.1967,-0.461,-0.411
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0.3526,0,0,0,-0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2512,0,-0.0734
