"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","angrylag"
"E_Scblty",0,0,0.5775,0,0,0,0,0,-0.4096,0,0,0,0,0,0,0,0.0254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,0.277,0,0,0,-0.4624,0,-0.3134,-0.5961,0.2526,0,0,0.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0.6538,0,0,0,0,0,0,0,-0.5271,0,0,0.4792,0,0,0,0,0,0.245,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0.366,0,0,0,0.2059,0,0,0,0,0,0.6808,-0.1865,0,0,-0.373,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535,0,-0.2874,0,0,0,-0.0875,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0.1629,-0.3569,0,0,0.1437,0,0,0,0.3088,0,0,-0.2865,0,0,-0.5439,0,0,0.7129,0,0,0,-0.0998,0,0,0,0,0.6736,0,-0.1401,0.4293,0,0
"C_Org",0,0,0,0,0,0,0,-0.2092,0,0,-0.5317,0,0,0,0.3602,0,-0.6404,0,0,0,0,0,0.4584,0,0.3123,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6909,0,-0.5108,0,0,0,0.5142,0,0,0.1536,0,0,0,0,0,0,-0.4749,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0691,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,-0.491,0,0,-0.4579,0,0,0,0,0,0,0,0,0,-0.1201,0,0,0,0,0,0
"N_Depr",0,0,0,0,-0.3943,0,0,0,0,0.59,0,0,-0.2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0789,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3548,0,0,0,0,0,0,0,0,0,-0.6072,0,0,-0.098,0,0,0,0
"O_IntCur",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2821,0,0,0,0,0.6782,0,0,0,0,0,0,0,0.326,0,0.1184,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1354,0,0
"O_CrtvImag",0,0,-0.4967,0.6146,0.1613,0,0,0,0,-0.895,0,0,-0.2265,0,0,0,0,0,-0.5361,0,0,0,0,0,0,-0.2975,0,0,0,0,0.2014,0
"angry",0.3115,-0.5581,0,0,0,0,-0.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1719
