"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","angrylag"
"E_Scblty",0,0,0.4172,0,0,0,0.603,0,0.842,0.6664,0,0,0,0.6196,0,0,0.2447,0,0,0.5996,0,0,0,0,0,0,0.5397,0,0,0,0.33,0.53
"E_Assert",0,0,0,0,0.5974,0,0,0,0,0,0.4395,0.4493,0,0,0,0,0,0.2162,0.4749,0.616,0,0,0.2924,0,0.4483,0.5922,0,0,0.2001,0.2672,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1161,0.1703,0.0818,0,0,0,0,0,0,0,0,0,0.1049,0
"A_Cmpn",0.163,0,0,0,0,0,0,0.4207,0,0.9487,0.4327,0,0,0,0.5436,0.3703,0,0.1485,0,0.4943,0.5027,0,0,0,0.4036,0,0,0.2414,0,0,0,0
"A_Rspct",0,0.2221,0.1803,0,0,0,0,0.2169,0.2787,0,0,0,0,0,0,0.2404,0,0,0.1797,0.3419,0.1638,0,0.1636,0.216,0.2776,0.2637,0.266,0.3555,0.1347,0.1341,0,0.498
"A_Trust",0.0126,0.0092,0.0102,0.0151,0.0176,0,0.0158,0.0116,0.0263,0.0222,0.0187,0.0189,0.009,0.0061,0.0168,0.0376,0.012,0,0.0145,0.0256,0.018,0.0322,0.0173,0.0214,0.0339,0.027,0.0266,0.0272,0.0114,0.0087,0.0072,0.0486
"C_Org",0.168,0,0,0.3364,0,0,0,0,0,0,0,0,0,0.2784,0.2103,0,0,0.128,0,0,0,0,0.1649,0.2276,0,0,0,0,0,0,0.183,0
"C_Prdctv",0.0724,0.0623,0,0.1702,0.0778,0,0.1042,0,0.1461,0.1696,0,0,0.0477,0.07,0,0,0,0,0,0.167,0,0,0,0.1022,0,0.1554,0,0,0.0586,0.0678,0.0865,0
"C_Rspnbl",0.1359,0,0,0,0,0.2976,0,0,0,0,0,0.2286,0,0,0,0,0,0,0,0,0,0,0.1657,0,0.2458,0,0,0,0,0,0.139,0.2167
"N_Anxty",0.1548,0.0714,0.1159,0.1106,0.1215,0.2065,0.1061,0,0.2899,0,0.2426,0.2587,0,0,0.1186,0,0.1385,0.0913,0.1304,0.3427,0.1153,0.2793,0.1536,0.1083,0.2634,0.3196,0.3687,0,0,0.0599,0,0.3479
"N_Depr",0,0,0,0,0,0,0,0,0,0.1996,0,0.1665,0,0,0,0.1607,0,0,0,0,0,0,0,0,0,0,0.1467,0,0.0601,0,0,0.1555
"N_EmoVol",0,0,0,1.9902,0,0.5874,0,0,0,1.5638,0,0,0,0,0,0.4641,0,0.3043,0,0,0,0,0,0,0,0,0,0.5086,0,0,0,0
"O_IntCur",0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0.2458,0.1313,0,0,0,0.1755,0,0,0,0,0,0,0,0.1228,0,0,0
"O_AesSens",0.1961,0,0.2233,0.4294,0,0,0.225,0.338,0.43,0.4212,0.2627,0.2783,0.137,0,0.3201,0,0.148,0,0,0.43,0.3174,0.2356,0.1914,0,0,0.3987,0,0,0.1769,0.1762,0.1949,0
"O_CrtvImag",0,0,0,0.3142,0.1345,0.2601,0.1894,0,0.2833,0.3171,0,0,0.0922,0,0,0,0,0,0,0,0,0,0,0,0.2667,0,0.1999,0.185,0,0.1088,0.1528,0
"angry",0,0.024,0.0257,0,0.0329,0,0.0329,0.0257,0,0,0,0.0441,0,0.0181,0.0443,0,0.0282,0.025,0.0372,0.0643,0.0413,0.0511,0.042,0.0527,0.0553,0.0618,0.0451,0.0631,0.0288,0.0211,0,0.071
