"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","angrylag"
"E_Scblty",0,0,0,0,0,0.1812,-0.3752,0,0,0,0,0,0,0.4113,0,-0.2651,-0.0603,0.2634,0,0,0,0,-0.1843,0.1833,0,0.3044,0,0,0,0,0,0.3706
"E_Assert",0,0,0,0,0,-0.2535,0,0,0,-0.1964,0,0,0,0,-0.0532,0,0,-0.0509,-0.1461,-0.2548,0,0,0,-0.1385,0.1423,0.0905,0,0.1759,-0.1866,0,0,0.3996
"E_EnerLev",0,0,0,0,0,0,0,0.6772,0,0,0,-0.6684,0,0,0,0.1966,0,0,-0.3823,0.292,-0.6925,0,0,0,0,0,0,0,0,0,0.7227,0
"A_Cmpn",0,0,0,0,-0.4119,0.1316,-0.1768,-0.2316,-0.0434,0,0.3444,-0.3697,0.8905,-0.2971,0,0,-0.3924,-0.1736,0,-0.4074,-0.421,0,-0.3878,-0.693,0,0,0.0845,0,0,-0.1419,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0.0586,0,0,0.2036,0,0,-0.2571,0,0.1304,0,-0.058,0,0,-0.1871,0,0,0,-0.1744,0,0,0,0
"A_Trust",0,0,0,0,0.2189,0,0,0,0.4178,0,0,-0.4228,0,0,0,0,0.4821,0.2551,0,-0.2997,-0.3936,0.1395,0,0,0,0,0,0,0.1647,0,0,0
"C_Org",0.7312,0.0582,-0.6759,-0.3915,0,-0.0942,0,1.2396,0.1772,1.3758,-0.8406,2.07,0.542,0.5016,-0.1343,-0.4137,-0.4715,0.9712,-1.1225,1.3051,0.7756,0.6343,-0.5354,0,0.2632,0,-2.3416,-0.2404,-2.1264,-0.0431,0,-0.408
"C_Prdctv",-0.2049,0,-0.5207,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,-0.1276,0,0,-0.1757,0,0.0717,-0.1165,0.1312,0,-0.1174,0,0,0.2418,-0.1796,0,0
"C_Rspnbl",-0.1774,0,0.4743,0,0,0,0,0,0,0,0,0,0,0.1527,0.2615,0,0,0,0,0,0,0,0,-0.0862,-0.015,0.2145,0.1995,0.0902,0,0.2294,0,0.3986
"N_Anxty",0,0.2723,0,0,0,0,0,-0.1261,0.1603,0,0,0,0.2103,0,-0.3697,-0.1935,0,0,0.4854,0,0.1688,-0.1933,-0.2034,0,0,-0.3242,0,0,0,0,0,0
"N_Depr",-0.2945,0,0.7314,0,0,0,0.4029,0,0,0,0,0,0,0,0,0,0,0,0.4247,0,-0.2325,0,0.4652,0,-0.1557,0,0.1849,-0.3005,0,0.2342,0,0.3763
"N_EmoVol",-0.0361,0,0,0.4118,0,0.1826,-0.3488,-0.2363,0.1196,-0.3296,0,0,0,0,-0.1531,0.1292,0,0,0,-0.3984,-0.2516,-0.1022,0,0,-0.199,0.2572,0.4912,0.1777,0.4423,0,0.2817,-0.0136
"O_IntCur",-0.182,0,0,-0.3545,0,0,-0.9184,-0.0322,0,0,0.0686,0,0,0,0,0,0.3064,0,-0.5935,0,0,0,-0.1787,0,0,0,0,0,0.172,0,-0.2756,0.1181
"O_AesSens",0,-0.2167,0,0,-0.2658,-0.2786,-0.2301,0,0,-0.1841,0.1027,0,0.2715,0,0,0,0.1552,0,0,-0.5001,0,0.2102,0,-0.5562,0,-0.3153,0,0.1328,0,-0.1712,0,0
"O_CrtvImag",0,-0.2974,0,-0.2459,0,0,0,0,0,0,0.5502,-0.0309,0,-0.1712,0,0,0,0,-0.5772,-0.4112,0,0,0,-0.4615,0,0,0.1622,0.32,0,0.2957,-0.1157,0.1385
"angry",0,-0.2049,0,0,0,0,0,0,0.0975,0,0,0,0,-0.2761,0,0,0.1145,-0.1395,0,0,0.297,0,0,0,-0.1475,0,0.232,0,-0.3854,-0.1978,0,0.0585
