"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","AnxSWk","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","AnxSWklag","angrylag"
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0776,0,0,0,0.0914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0896
"E_Assert",0,0,0,0,0,0,0,0,0,0,0,0.1057,0,0,0,0,0,0,0.118,0,0,0,0.1014,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0.0942,0.0718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1074,0,0,0,0,0,0,0,0,0.106,0.061,0,0,0,0
"A_Cmpn",0.0895,0,0,0,0,0,0,0,0,0.106,0,0,0,0,0,0,0,0,0,0,0.135,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0.0163,0,0,0,0,0,0,0,0.0136,0,0,0,0,0,0.0191,0,0,0,0,0,0.0193,0.0143,0,0.0183,0.0124,0,0,0.0201,0,0.0141,0,0,0
"A_Trust",0,0,0.1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1208,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0,0,0,0.1021,0,0.1231,0.1368,0.1658,0,0,0,0,0.1606,0,0.1009,0.1306,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1112,0,0,0,0,0,0,0,0,0.176
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0.1014,0,0,0,0,0,0,0.1055,0,0,0,0,0.1127,0,0,0,0.1011,0,0,0,0,0,0,0,0
"N_Anxty",0,0.0787,0.0915,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1054,0,0,0,0,0,0,0,0,0,0.1015,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1558,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,0,0,0,0,0
"O_IntCur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1949,0,0.154,0,0,0,0,0,0,0.0994,0,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1446,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1578,0,0
"angry",0,0,0,0.1411,0.0937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1067
"AnxSWk",0,0.0725,0,0,0,0,0,0,0,0,0,0,0.0549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0994,0
