"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","AnxSWk","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","AnxSWklag","angrylag"
"E_Scblty",0,0,0,0.2208,0,0.2233,0,0.4023,0.2644,0,0.4354,0.3039,0,0.2953,0,0.6976,0.3085,0.131,0.3711,0.2371,0.1908,0.4784,0.185,0.2936,0,0.2401,0.359,0.4801,0.514,0.4058,0,0.2276,0.4678,0.3124
"E_Assert",0,0,0.1549,0,0.2429,0.143,0,0,0,0.1308,0,0.2991,0,0.1524,0,0.4745,0.1602,0.0745,0.1743,0,0,0,0.1088,0,0,0.1196,0,0,0.2115,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131,0,0,0,0.1078,0.1595,0,0,0,0,0,0,0,0.2686,0
"A_Cmpn",0,0.3315,0,0,0.4225,0.1446,0,0,0,0.2432,0,0.3979,0.3187,0,0,0,0,0,0,0,0.1505,0,0.1359,0,0.3185,0,0,0,0,0.2906,0,0.1546,0,0.1624
"A_Rspct",0.0491,0.0922,0.0813,0,0,0,0,0,0.0574,0,0,0,0.1107,0,0,0,0.0685,0.0377,0,0,0.0538,0.1395,0,0,0,0,0,0,0,0,0.08,0,0,0
"A_Trust",0.0957,0,0,0,0,0,0,0,0.1198,0,0,0,0.2341,0,0.1461,0,0,0.0819,0,0,0.1249,0.2814,0.1185,0,0,0,0,0,0.1975,0,0,0,0.4452,0
"C_Org",0,0,0,0,0.2662,0,0,0,0,0.2284,0,0,0,0,0,0,0,0,0.1441,0,0,0.2469,0,0.1537,0.2433,0,0,0,0,0,0,0.1216,0.3506,0
"C_Prdctv",0,0,0.0687,0.043,0,0,0.0602,0,0.0489,0,0,0.0823,0.0887,0.0688,0,0,0,0,0,0.0663,0,0.1078,0.0478,0.0645,0.1042,0.0418,0.0745,0,0,0,0,0,0,0.0588
"C_Rspnbl",0.1756,0,0.2735,0,0,0,0,0,0,0,0.3043,0,0,0.2761,0.2362,0.6652,0,0,0,0,0,0,0,0,0,0.1751,0.2857,0,0,0,0.2443,0,0.6957,0
"N_Anxty",0.0506,0.102,0,0,0.1757,0.065,0.1095,0.164,0.0709,0,0.1346,0,0,0,0.0909,0,0,0,0,0.0924,0.0641,0.1596,0.0595,0.0882,0,0.0624,0.1051,0,0,0.1108,0.089,0,0.2357,0
"N_Depr",0.0491,0.0796,0,0,0.1576,0.062,0,0,0.0659,0.1063,0,0,0.106,0,0,0.2111,0,0,0,0,0,0,0,0.0735,0,0,0,0.0975,0,0,0.082,0.0589,0.2024,0
"N_EmoVol",0.1585,0.4771,0.2707,0.5697,0,0.2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1718,0,0,0,0,0,0.3016,0.5169,0,0,0,0
"O_IntCur",0,0,0.1418,0,0.2628,0.0881,0.112,0,0,0,0,0,0,0.1554,0,0.6009,0.1519,0,0,0,0,0,0,0,0.1776,0,0,0,0,0.2354,0.1482,0.1026,0,0
"O_AesSens",0,0.102,0,0,0,0,0,0,0.0816,0,0,0,0.1689,0,0,0,0.1053,0,0,0.1202,0.0746,0,0.0716,0,0,0,0.1221,0,0,0,0.1105,0.0725,0,0
"O_CrtvImag",0,0.1703,0,0.1052,0.2727,0,0,0.1722,0,0,0,0.2164,0,0,0,0,0.1291,0.0736,0.1236,0,0.0888,0.2281,0,0,0.1703,0.1082,0,0,0,0,0,0.1094,0.285,0
"angry",0.0055,0,0,0.0068,0.0134,0,0.009,0.0125,0.0054,0.012,0.0132,0.0112,0.0104,0.0066,0,0.0171,0,0.0042,0,0.0052,0.0058,0.0092,0.0076,0.0119,0.0201,0.0063,0.0107,0.0142,0.0089,0.0135,0.0089,0.0073,0,0.0082
"AnxSWk",0,0.1714,0,0,0,0,0,0,0,0,0,0.2253,0.4737,0,0,0,0.1201,0,0.1225,0,0,0,0,0,0.1989,0,0.144,0,0,0,0,0,0.2554,0
