"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","AnxSWk","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","AnxSWklag","angrylag"
"E_Scblty",0,0,0,0,-0.2059,0,0,0.2474,0,0,0,-0.3454,0,0,0,0,-0.6959,-0.1264,0.1597,0,-0.3737,0,0,0.2782,0,0,0,0.2488,0,0,0,0,0,0
"E_Assert",-0.4278,0,0,0,0,0,0.3173,0,0,0,0,0,0,0,0,-0.1982,0,-0.2106,0.2773,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3135,0
"E_EnerLev",0,0.3733,0,-0.3879,-0.2546,0,0,0,0,0,0,-0.4384,0,0,0,-0.8597,0,0,0,-0.4568,0,0,0,0.2051,0,0,0.4322,0,0,0,0,0,-0.5046,0
"A_Cmpn",0,0,0,0,0,0,0,0.3862,0,0,0,0,0,0,0,0,0,0,0,0,0.0611,0,0,0,-0.2471,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0.1503,-0.2382,0,0,0,0,-0.3859,0,0,0,0,0,0,0,0,-0.3111,0.0959,0,0,0,0,-0.2043,0,0,0,0.1677,0,0,0.2631
"A_Trust",0,0,0,0,0,0,0,0,0,0,0,-0.2809,0,0.6128,0,0,0,0,0.2515,-0.3868,0,-0.2874,0.0115,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0.2197,0,0,0,0,0.2291,-0.1945,0,0,0,0,0,0,0,0,-0.2627,0,-0.297,0,0,0.1864,0,0,0,0,0,0,0,0.2975,0,-0.2008
"C_Prdctv",0,-0.2816,0.8511,0,0,0,0,0,0,0.5765,-0.3649,0,0.751,0.4001,0.3692,0,0,0,0,0,0.3022,0.6425,-0.1855,-0.2837,-0.1627,0,-0.4712,-0.7122,0.4669,0,0,0,0.626,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0.1915,0,0,0,0,0,0,0,0,0.1991,0,0,0,-0.1244,0,0,0,0,0,0,0,0
"N_Anxty",-0.1201,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1673,0.2074,0,0,0,0,-0.2382,0,0,0,0,0,0.0187,0.384,0,0,0,0,-0.2346,0
"N_Depr",-0.352,0,0,0,0,-0.4558,0,0,0,0,0,0,0,0,0,0,0,0.1423,0.2965,0,0,0,0,-0.1702,0,0,-0.3511,0.2934,0.2314,0,0.3468,0,0.213,0
"N_EmoVol",0,0,0,0,0,0,0,0,-0.3822,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3446,0,0,0,0,0,0.2625,0,0,0,0,0
"O_IntCur",0,0,0.7839,0,0,0,0,-1.0008,0,0,0.5836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3398,0,0,0,0
"O_AesSens",0,0,0,0,0,-0.3808,0,0,0,0,0,0,0.5349,0,0,0,0,0,0,0,-0.2356,0,0.3631,0.4249,0,0,0,0.3197,0,0,-0.0964,0,0,0.3981
"O_CrtvImag",0,0,0,0.1675,0,0,-0.2359,0,0.2355,0,-0.6575,0,0,0,0,0,0,0.1776,0,0,0,0,0.2114,-0.1595,0,-0.1749,0,0.2328,0,-0.3953,0.2126,-0.0978,0,-0.3163
"angry",0,-0.6675,0,0,0,0,0,0,0.3598,0,-0.6213,0.2866,-0.2695,0,-0.3232,0,0,0,0,0,-0.1605,0,0,0,0,-0.1921,0,-0.2335,0,0,0,-0.4584,0,-0.5232
"AnxSWk",0,0,0.5037,0,0,-0.6015,0,0.617,-0.3633,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2935,0,0,0,0,0,0,0,0,0,0.1242,0
