"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","AnxSWk","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","AnxSWklag","angrylag"
"E_Scblty",0,0,0,0,-0.6942,0,0.2432,0,0,-0.4264,-0.1228,0,0,0,-0.1117,0,0,-0.0923,0.4936,0,0,0,0,0,0,0.5917,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,-0.354,0,0,0,0,0,0,0,0,0,0,0,0,-0.013,0,0,-0.215,-0.2666,0,0,0,0.4906,0,0,0.2911,0,0,0,-0.3675
"E_EnerLev",0.3618,0,0,0,0,0,0,0,0,0,0,-0.2435,0,0,0,0,0,0,0,-0.2578,0,0,0,0,0,0,0,0,0,0.1968,0,0,-0.3374,0
"A_Cmpn",0,0,0.1866,0,0.5795,0,0.6558,0,0,0.2579,0,0,0,0,0,0,0,-0.1866,0,0,-0.052,-0.4763,0,0,-0.1879,0,-0.4,0,0,-0.5957,0.2601,0,-0.5577,0
"A_Rspct",-0.0932,0,0.1733,-0.6518,0,0,-0.5285,-0.2145,0,0.1368,-0.5469,-0.8661,-0.4345,0.4414,0,0,0.1068,0,0.0441,0,0,-0.5915,-0.4667,0.2033,0,1.0866,0,0,-0.7662,0,0,0,0,0
"A_Trust",-0.2031,0,0,0,0,0,0,0.227,0.1181,0.9997,-0.5718,0,0.8207,0.5598,-0.667,0,-0.2331,0.0309,0.3244,0,0,0,-0.047,0,-0.8631,0.5012,0,0.7724,0.2333,0,0.4576,0,0.3595,-1.1084
"C_Org",-0.4337,0,-0.3732,-0.5452,0.263,0.3744,0,-0.1905,0,0.2356,0,0.2948,0,0,0.3511,0,0,0.2532,0,0,0,-0.8559,0,-0.4503,0,0,0,-0.4412,-0.8688,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1445,0,0.3493,0,0,0,0,0,0,-0.0907,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0.1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1625,0,0.1714,0,0,0,0,0,0,0,0
"N_Anxty",0,0.321,0.1483,0,0,-0.7933,0,0,0,0,0.5804,0.6787,0,0,0,0,-0.1843,0,0,0,0,0,0,0,0.0227,0,0.1762,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,-0.9166,0.4853,0,0,0,1.1262,1.4117,0,-0.502,0,-0.9655,0,0,-0.2894,0,0,0,0,0,0,0,1.2095,0,0.2295,0,0,0.4838,-1.1013
"N_EmoVol",0,0,0,0,0.4898,0,0,0,0,0,-0.7017,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,-0.3905,0.0511,0,0,0,0,0
"O_IntCur",0.0566,0,0,0,0,0,0,0,0,0,-0.8279,0,0,0,0,0,0,-0.5247,0,0,0,0,0,0,0,0.2243,0,0,0,0.2229,0,0.5631,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0.1854,0,0,0,0,0,0,0,0.1094,0,0,0,0,0,0,0,0,0,0,0,0,0.2851,-0.2451,0,0,0.3857
"O_CrtvImag",0,0.2834,0,0,0,0,-0.1228,0,0,0,0,-0.1925,0,0.3833,0,0,0,0,0.4231,0,0,0,0.3723,0,0,0.4384,0,0,0,-0.2066,0,-0.213,0,0
"angry",-0.3849,0,0.2147,0,0,-0.0756,-0.3721,0,0,-0.3477,0.6578,-0.3995,0,0,0.0891,0,0,0.3304,-0.3501,0.7426,-0.4279,0,0.4275,0.738,0,0,0.535,-0.8029,-0.7382,-0.8973,-0.5567,0,0,1.1805
"AnxSWk",0,0,0,0,0,0,0,0,0,0,0,0,-0.2373,0,0,0,0.1869,0,-0.3427,0,0,0,0.1144,0,0,-0.377,0,0,0.1608,0,0,0,0.4911,0
