"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","AnxSWk","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","AnxSWklag","angrylag"
"E_Scblty",0,0,0,0,0,0,0.1096,0,0,0,0,0,0.0649,0,0.0992,0,0,0.0895,0,0,0.0697,0,0,0,0,0,0.1349,0.1303,0,0.0603,0,0,0,0
"E_Assert",0,0,0,0,0.0523,0,0,0.0648,0,0,0,0,0,0,0.0737,0.2509,0,0.0731,0.0831,0.061,0.0606,0,0,0,0.0718,0.0835,0.1075,0,0.096,0,0,0.0771,0.4382,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0.1003,0,0.0972,0,0,0,0,0.1166,0.0928,0,0,0,0,0.0983,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0.1219,0.1516,0,0.0659,0,0,0,0.118,0,0,0,0.0902,0,0,0,0,0.1214,0,0,0,0,0,0,0,0
"A_Rspct",0.1138,0,0,0.0956,0,0,0,0,0.1162,0,0.1533,0,0,0,0,0,0,0,0,0,0,0.0942,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0,0,0.0869,0,0.1427,0.2007,0,0.1526,0,0,0.0839,0,0,0.3134,0,0,0,0,0,0.1024,0.1166,0,0,0,0,0,0,0,0,0,0,0.1722
"C_Org",0,0,0,0,0.1005,0,0,0.1281,0,0,0,0,0.0846,0,0.3023,0,0.1447,0,0,0,0,0,0,0.1637,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0.0983,0,0,0.1633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1183,0,0,0,0,0,0,0.1157,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0.0749,0,0,0,0,0.0551,0,0,0,0,0.0912,0,0,0,0,0,0,0,0.0881,0,0,0,0,0.0959,0,0,0
"N_Anxty",0.0783,0,0,0,0,0,0,0,0.0657,0,0.1919,0,0,0.0709,0,0,0,0,0,0,0.0631,0,0,0,0,0,0.105,0.1246,0,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0.8347,0,0.1588,0,0.1709,0,0,0.2866,0.239,0,0,0,0.1265,0,0,0,0,0,0.6533,0,0,0,0,0,0
"N_EmoVol",0.0185,0.0204,0.0169,0,0,0.0337,0.0461,0.0174,0,0.0671,0.033,0,0,0.0273,0.0199,0,0.0355,0.0378,0.0309,0.0263,0.0204,0.0558,0,0,0.0152,0.0284,0.0598,0.0687,0.036,0,0.0178,0.022,0,0.0317
"O_IntCur",0.1564,0.1683,0,0,0,0,0,0,0,0,0,0,0,0.2414,0,0,0,0,0.1835,0.1287,0,0,0,0,0,0,0,0,0,0.1323,0,0,0,0.1648
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0.2014,0.2218,0,0,0,0,0,0.1845,0,0,0.1166,0,0,0,0,0,0,0,0,0.1658,0,0,0
"O_CrtvImag",0.1964,0,0,0.1307,0,0,0.3355,0,0,0,0.2071,0,0,0.2046,0,0,0,0,0,0.1418,0,0.1165,0,0,0,0,0,0,0,0,0,0.1359,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714,0,0.0563,0,0.0476,0.0585,0.0704,0,0,0,0,0,0,0.0759,0,0,0.0793
"AnxSWk",0,0.019,0,0.0142,0.012,0.0097,0,0,0.0138,0,0,0.014,0,0.0169,0,0,0,0,0.0169,0,0.0119,0,0,0,0,0.0215,0,0,0,0.0139,0.017,0,0.2207,0
