"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","AnxSWk","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","AnxSWklag","angrylag"
"E_Scblty",0,0,0.1963,0,0.2297,0,0,0.1333,0.1598,0,0,0,0,0,0,0,0.1918,0.1127,0,0.1809,0,0,0,0.1615,0,0,0,0.1397,0,0,0,0.2419,0,0
"E_Assert",0,0,0,0,0,0,0,0,0,0,0.1659,0,0,0.2196,0,0,0,0,0.1368,0,0,0,0,0.1253,0,0,0,0.1081,0,0.1259,0,0,0,0
"E_EnerLev",0,0,0,0.0959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1001,0,0,0,0.085,0,0,0,0,0,0,0,0,0,0.1139
"A_Cmpn",0,0,0,0,0,0.3116,0,0,0,0.2146,0.2092,0,0,0,0.4146,0,0.2616,0,0.1878,0,0.1752,0,0,0.1523,0.1719,0,0,0,0.1989,0,0,0,0,0
"A_Rspct",0,0,0.075,0.0689,0,0.055,0,0.0439,0.0536,0.0713,0,0,0,0,0,0.1862,0.0653,0.0488,0,0,0,0.0909,0.1022,0,0,0,0.061,0,0,0,0.083,0,0,0
"A_Trust",0,0.1553,0,0.1891,0,0,0,0.1537,0,0,0,0,0,0,0,0,0,0.0925,0,0.1458,0,0,0.1326,0,0,0,0,0,0.1572,0.1368,0,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0.3495,0.1483,0,0,0,0.3157,0,0,0,0,0.1896,0.2029,0,0,0,0.1884,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0.222,0,0,0,0,0,0.158,0,0,0.2484,0,0,0,0,0,0.1814,0,0.189,0.2233,0,0,0.1557,0,0,0,0,0.2059,0.2405,0.2385,0,0
"C_Rspnbl",0,0.4613,0,0,0,0,0.4644,0,0,0,0,0,0.2925,0.5922,0,0,0,0,0,0.255,0,0,0,0,0,0.2385,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0.1771,0,0.2807,0,0,0,0,0,0,0,0,0,0.2428,0,0,0,0,0,0,0,0,0,0,0.1175,0.1112,0,0,0,0.179,0,0,0.1708
"N_Depr",0,0.3656,0,0,0,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1589,0,0,0.2506,0,0,0.2135
"N_EmoVol",0,0,0,0,0,0.1102,0,0,0,0,0,0,0,0,0,0,0,0,0.1177,0.1082,0,0,0.116,0,0.091,0.0932,0,0,0.1433,0.1036,0,0,0.2655,0.1412
"O_IntCur",0.1103,0,0,0.1767,0,0.1577,0.1375,0.1587,0.1322,0,0,0.1369,0,0,0,0.3435,0.1657,0.1039,0,0,0,0.2352,0,0.1316,0,0,0,0,0,0.1345,0,0,0,0
"O_AesSens",0.0598,0,0,0,0,0,0.1232,0,0.1033,0,0,0,0.0992,0,0,0,0,0.0638,0,0,0.1044,0.1307,0,0.0795,0.0627,0,0,0.084,0.0877,0.0972,0.1196,0.1383,0,0
"O_CrtvImag",0.0397,0,0,0.0775,0,0.0612,0.0499,0,0.0554,0.0625,0.0519,0,0.0644,0.0722,0,0,0,0.0457,0,0.0642,0,0,0,0,0.0464,0.0516,0.046,0,0,0,0,0.0709,0.1268,0.087
"angry",0.0099,0.0138,0,0.0168,0.017,0.0089,0.0089,0.0058,0.0081,0.0128,0,0.0124,0.0152,0.0154,0.0217,0.031,0,0.0113,0.0106,0.0143,0.0191,0.0181,0,0,0.0077,0.0067,0.0081,0.0096,0.012,0.0136,0.0171,0.0158,0.0289,0.0167
"AnxSWk",0,0,0.0492,0,0,0,0.033,0.0258,0,0,0,0,0.0368,0,0,0,0,0,0,0,0,0.0559,0.0467,0,0,0,0.0328,0,0,0.0338,0,0,0.0873,0.0514
