"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","AnxSWk","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","AnxSWklag","angrylag"
"E_Scblty",0,0,0,0.5853,0,0,0,0,0,0,0,0,-0.533,0,0,0,0,-0.0251,0,0,-0.3194,0.4525,0,0,0,0,0.4094,0,0,-0.4935,0,0,0,0
"E_Assert",0.2623,0,0,0,0,0,0,0,0.2199,0,0,0,0,0,0,0.5155,0,0,0.2708,0,0,0,0,0.2589,-0.4131,0,-0.3275,0,0,0,0,0,-0.3825,0
"E_EnerLev",0,0,0,-0.3402,0,0.2059,-0.2025,0,0,0,-0.2219,0,0,0,0,0,0,0,0,-0.3468,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,-0.8668,0,0,0,-0.2989,-0.5634,0.63,0,0,0,0,0,0,0,-0.3645,0.272,0,0,0,0,0,0,0,-0.6419,0,0,0.8394,0,0
"A_Rspct",0,0,0,0.433,0,0,0,-0.32,0,-1.7278,0,0,0,0,0,0.8695,0.3489,-0.7729,0,0,1.4678,-0.4408,0,0,0,0.2775,0,0,0,0,0,0,0.5733,-0.5828
"A_Trust",0,0,0,0.5067,0,0,0,0,-0.3016,0,0.3239,0,0,0,0,0,0,0,0,0,0,0.2578,-0.2563,0,0,0,0,0,-0.3884,0,0,0,0,0
"C_Org",0,0,0,0.2489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2732,0,0,-0.0434,0,0,0,0,-0.2464,0,0,0,0,0
"C_Prdctv",-1.056,0,0.5241,0,0.896,0,0,0,0,0,1.1545,0,0,0,0,0,0,-0.3156,0,0,0,0.5706,0,0,-0.3777,0,0.3827,0,0,0,0,0,0,0
"C_Rspnbl",-0.2293,0,0.5173,0,0,0,0,0,0,0,0,0,0,0,-0.1742,0,0,0,0,0.2139,0,0,0,0.2978,0.2526,0.2841,0,0.3473,0,0,0,0,0,0
"N_Anxty",0,0,0,0.6724,0,0,0,0,0,0,0,0.8661,0,0,-0.3722,0,-1.0006,0,0,0,0,0,0,0,0,0,0.6279,0,0,-0.2809,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,-1.3245,0,0,0,0,0,-0.3579,0,0,0,-0.3277,0,0,0.4851,0,0,0,0,0,0,-0.052,0.2046,0,0,0,0,0
"N_EmoVol",0,0,0,-0.2351,0.9554,0,0,0,0,0.3456,0,0,-0.1543,0,0,0,-0.4244,0.1912,0,0,-0.3857,0,0.5438,0,0,-0.7296,0.3397,0.3189,-0.5166,0,0,-0.2945,0.2561,0
"O_IntCur",0,0.4933,0,0,1.2556,0,0.5411,0,0,0,0,0,0,0,0.4433,0,1.2189,0,0,0,0,0,0,0,0,0,0,0,0,-0.0408,0,0,0.4903,0
"O_AesSens",0,0,0,0,0,0,0,0,0.3259,0,0,0,0,0,0,0,0.3073,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0527,0,0,0
"O_CrtvImag",0,0,0.2201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1627,-0.3183,0
"angry",0,0,0,-0.9011,1.4321,0.9055,0,-2.0104,0.7549,0,0,-1.707,-3.5466,0,0,-1.8813,0,1.0795,-0.9911,-0.853,0,0,0,0,0,-0.6117,0,0,0,0,1.6188,0,0,-2.1764
"AnxSWk",-0.1053,0,-0.0864,-0.1286,0,-0.3459,-0.2392,0.1618,0,-0.5954,-0.7221,0.2758,0,-0.1165,0,0,0.1002,0.2654,0,-0.3606,0,0,0,0,0.5689,0,0,-0.3303,-0.4575,-0.9062,0.2757,0.5274,0.2044,0.3755
