"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","AnxSWk","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","AnxSWklag","angrylag"
"E_Scblty",0,0,0,0,0,0,0,0,0.6688,0,0,0.3057,0,0,0,0,0,0.0867,0,0,0,0,0,0,0.306,0,0,0,0,0,0,0,0,0
"E_Assert",-0.2648,0,0,-0.1409,0,0,0.2431,0,0,0,0,0,0,-0.1402,0.1718,0,0,0,-0.1628,0,0,0,0,0,0,0,-0.2654,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0.3482,0,0,0,0,0,0,0,0,0,0,0.1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0.1371,-0.1659,0,0,0,0,0,0,-0.1007,0.798,0,0,0,0,-0.3962,0,-0.1971,0,0,0,-0.1247,0,0,0,-0.2776,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0.2087,0,0,0.123,0,0,-0.4271,0,0,0,0,0,0,0,0,0,-0.0113,0,0,-0.1609,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0,0,0,0,0.2221,0,0.139,0,0,0,0,0,0,0,0,0,0,-0.2262,0,0,-0.151,0,0,0,0,0.2551,0,0,0,0.1653,-0.2811,0
"C_Org",0,-0.1738,0.1637,0,0,0,0,0,0,0,0,0,0,0,-0.1113,0,0,0,0,0,-0.1241,0,0.4145,-0.0359,0.269,0,0,-0.2399,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1528,-0.2699,0.3844,0.3445,0.0842,0,0,0,0.2874,0,0,0,0,-0.1728
"C_Rspnbl",-0.4512,0.2417,0,0,0,0,0,0,0,-0.1652,0,0,0,0,0,0,0,0,-0.2459,0,0.2438,0,0,0,0,-0.0918,0,0,0,0,0.3191,0,0,0
"N_Anxty",0.4638,0,-0.4039,0,-0.4408,0.2106,0.2894,0,0,0,0,0.8026,0,0,0.6049,0,0,0,0,0,0,-0.2399,0,-0.223,-0.465,0,0.1608,0.4757,0,0,-0.292,0,0.114,-0.5534
"N_Depr",0,0,0,-0.1442,0,0,0,0.2015,0,0,0,0,0,0.0906,0,0,0,0,0,0,0,0.1867,-0.4242,-0.1341,0,0,0,0.2746,0,0,0.4049,0,0.4341,0
"N_EmoVol",0,0.3151,0.1793,0.4007,0.4994,0,-0.6858,-0.5912,0,-0.6449,0.415,0,-0.2718,0.2077,0.3275,0,0.5938,0,0.4388,0,-0.3289,0,0.7405,0,0,0,0.2424,-0.4308,0.2843,0,0,0,0,-0.3871
"O_IntCur",0.3314,0,0,0,-0.2119,0.2461,0.1299,0.169,0,0,0,0,0,-0.2606,0,0.1967,0,0,0.2101,0,0,0.2231,0,0,0,0,-0.1957,0,0,0.0151,0,0,0,0
"O_AesSens",0.1932,0,-0.3214,-0.7205,0,0,0,0,0,-0.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1463,0,0,0
"O_CrtvImag",0,0,0.0981,0,0,0,0,0.4173,0,-0.5821,0,0,0,0,0,0,0,0,0,0,0.3469,0,0,-0.2229,0,0,0,0,-0.257,0,0,-0.0277,0.4491,0
"angry",0,0,0,0,0,0,0,0,-0.1297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2062,0,0,0,0,0,0,0,0.5197
"AnxSWk",0,0,0,-0.1378,0,0,0,0,0,0,0,0,-0.0201,0,0,0,0,0,0,0,0,0,0,0,0.1204,0,0.2308,0.519,0,0,0,-0.1734,0.0802,0
