"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","AnxSWk","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","AnxSWklag","angrylag"
"E_Scblty",0,0,0,0,0.1555,0,0,0,0,0,0,0.2045,0,0.1302,0,0,0,0.0895,0,0,0,0,0,0.2056,0,0,0.2463,0.3134,0.1895,0.1311,0,0,0,0.132
"E_Assert",0.0673,0,0.1504,0.1426,0,0,0,0.1553,0.1067,0.1987,0,0,0.1259,0,0,0,0,0,0.1012,0.1594,0,0.1538,0,0,0,0,0,0,0,0,0,0,0.4087,0
"E_EnerLev",0,0,0,0.0942,0.1279,0,0,0,0,0,0,0,0.138,0.1563,0,0,0,0,0,0.1398,0,0,0,0,0,0,0,0,0,0,0,0,0.2151,0
"A_Cmpn",0,0,0,0,0.1075,0,0,0.1063,0.075,0.1384,0.1895,0,0.0884,0,0,0,0,0,0,0,0.1067,0,0,0,0,0,0.1616,0,0.1678,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0.2464,0.1299,0.0848,0,0,0,0,0,0,0,0,0,0,0,0,0.124,0,0,0,0,0,0.2585,0,0,0,0,0,0
"A_Trust",0,0,0,0,0,0,0.0913,0,0,0,0.1544,0,0,0,0,0,0,0,0,0.0856,0,0,0.0834,0,0,0,0,0,0.1282,0.0761,0,0,0,0
"C_Org",0,0,0.142,0,0.154,0,0,0,0,0,0,0,0,0,0,0.1991,0,0,0,0,0,0,0.1055,0.119,0,0,0,0,0,0,0,0,0.1931,0
"C_Prdctv",0,0.0085,0.0105,0.0142,0.0115,0.0093,0.0155,0,0.0052,0.016,0,0.0134,0.0093,0,0.008,0.0146,0.0074,0,0,0.0082,0.008,0.0082,0.0053,0,0.0085,0.0049,0.0081,0,0.0138,0.0077,0,0,0.0488,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2358,0,0,0,0.1238,0,0,0,0,0,0.1168,0,0,0,0,0,0,0,0
"N_Anxty",0.031,0,0,0,0,0.0601,0,0,0,0,0.1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0969,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1117,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0.0813,0.0782,0,0.0806,0.0578,0,0,0,0.0982,0.0908,0,0.248,0.07,0,0,0,0.0932,0.0871,0.0903,0,0,0.0813,0,0,0.1163,0,0.0763,0,0,0
"O_IntCur",0,0,0.2628,0,0,0,0,0,0,0,0,0.3573,0,0,0,0,0,0,0,0,0.1363,0,0,0,0,0,0.2166,0,0,0.1142,0,0,0,0
"O_AesSens",0,0,0.1975,0,0,0.1202,0,0,0,0,0,0.2425,0.1224,0,0,0.3106,0,0,0,0,0,0,0,0,0,0,0.1991,0,0,0,0.1163,0,0,0
"O_CrtvImag",0,0,0,0.064,0,0,0.0901,0.0659,0,0,0,0.1065,0,0,0,0.2003,0,0.0449,0,0.0776,0,0,0.0911,0,0,0,0,0,0,0,0,0.1145,0,0
"angry",0,0,0,0,0,0.1309,0,0.1217,0,0,0,0,0,0,0.1295,0,0,0,0,0,0.1366,0,0,0.1911,0,0,0.2064,0.255,0,0.1215,0,0,0,0.139
"AnxSWk",0,0,0,0,0,0,0,0,0,0.0626,0,0,0.0504,0,0,0,0,0,0,0.0477,0,0,0.0518,0,0,0.0414,0.0733,0,0,0,0,0,0.1034,0.0441
