"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","argument","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","argumentlag","angrylag"
"E_Scblty",0,0,0,0,0,0,0.0898,0,0,0,0,0,0,0,0,0,0.5048,0.1133,0.103,0,0,0,0,0,0,0,0.2274,0,0,0,0,0,0,0.5271
"E_Assert",0,0,0,0,0,0.1379,0,0,0,0,0,0,0,0,0,0.2994,0.5505,0.1184,0.1158,0.0443,0.1014,0,0,0,0.0743,0.1226,0,0.3827,0.1749,0.1179,0,0.081,0,0.4912
"E_EnerLev",0,0,0,0.2828,0,0,0,0,0,0,0,0.6534,0,0,0,0.658,1.4173,0,0.2821,0.1242,0.2429,0.6126,0.3739,0,0.1832,0.3274,0.6047,0,0,0.3515,0,0.2661,0.9294,0
"A_Cmpn",0,0,0,0,0.1985,0,0.0979,0,0,0,0.385,0.1817,0.1395,0.1158,0,0,0,0.1223,0.1131,0,0.103,0.2302,0,0.1021,0.0975,0,0,0,0,0.1239,0.1008,0,0,0
"A_Rspct",0,0,0,0,0,0.1539,0,0,0,0.2377,0,0,0,0,0,0,0,0.0972,0,0.0354,0.0626,0.1477,0,0,0.0503,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0,0,0.2418,0,0,0,0.0906,0,0,0.1306,0,0,0,0.2446,0,0.0897,0.0851,0.0422,0.0713,0.1601,0.0986,0,0,0,0,0,0.128,0,0.0831,0,0.2864,0
"C_Org",0,0,0.0481,0,0,0,0,0.0725,0,0,0,0,0.1072,0,0,0,0,0.1017,0.0959,0.0494,0,0,0,0.0918,0,0.1079,0.2349,0.3286,0.1385,0.0995,0,0,0,0.4595
"C_Prdctv",0.1573,0,0.0851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0649,0.1458,0.3085,0,0,0.1087,0,0,0,0,0.1695,0,0.1415,0,0
"C_Rspnbl",0.1154,0,0.0598,0,0,0,0,0,0,0,0,0,0.1209,0,0.0808,0,0,0,0,0,0,0,0,0,0,0.1187,0,0.358,0,0,0.1039,0,0,0.6076
"N_Anxty",0.008,0.013,0.0029,0,0.0141,0.0096,0.0073,0,0.0068,0,0.0496,0.0425,0,0.0105,0.0107,0.0415,0.0413,0.0112,0.0074,0.0061,0.0194,0.0233,0,0.0052,0.009,0,0.0179,0.0727,0.0232,0.0198,0.009,0,0.1425,0.04
"N_Depr",0,0,0.0212,0,0.0671,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457,0,0,0.0827,0,0.0369,0,0,0,0.1534,0,0,0,0,0,0.1928
"N_EmoVol",0,0,0.0618,0.0897,0,0.1293,0,0,0.1383,0.3461,0,0,0,0.0896,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0.372,0.1545,0.0999,0,0,0,0
"O_IntCur",0.1912,0,0,0.3165,0,0,0,0,0.2953,0.6077,0.6387,0,0,0,0,0,0,0.1897,0,0,0,0,0,0,0,0,0,0,0,0.1927,0,0.1789,0,0
"O_AesSens",0.1032,0.0937,0,0,0.1552,0.1009,0,0,0,0.3366,0,0,0.0943,0,0,0,0,0,0.1,0,0.0891,0,0.1095,0,0.0662,0,0.2244,0,0,0.0949,0.0823,0,0,0.5196
"O_CrtvImag",0,0.1425,0,0.1225,0,0,0.1244,0,0,0,0.4369,0,0,0.1392,0,0,0,0,0,0.0574,0.1224,0,0,0,0.1035,0,0,0,0.1917,0,0.1048,0.0915,0,0.6305
"angry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0544,0,0.0194,0.0195,0,0,0.0351,0,0,0,0.0191,0,0.0673,0,0.0183,0.0167,0,0,0.0935
"argument",0,0,0,0,0,0,0.0507,0.04,0,0,0,0,0,0.0568,0,0,0,0,0,0.026,0.0451,0.1042,0,0,0,0,0,0.1791,0.0702,0,0,0,0.1667,0
