"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","argument","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","argumentlag","angrylag"
"E_Scblty",0,0,0,0,0,0.1914,0,0,0,0,0,0,-0.2055,0,0,0,0,-0.1404,0,0,0,0,0,0,0,0,0.2337,0,0,-0.3746,0,0,0,0
"E_Assert",0,0,0,0,0.331,-0.7819,0,0,0.146,-0.3975,-0.178,-0.2183,0,-0.3537,0,0,0,0,0.3753,-0.4456,0,0,0,0,0,0,0,0,-0.6907,-0.596,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,-0.4191,0,0,0,-0.4083,0,0,0,0,0.3398,0,0,0,-0.2498,0.1951,0,0,0,0,0,0,0,0,-0.254,0,0,0,0
"A_Cmpn",0.6039,0,-0.4455,0,-0.1488,0,0.3407,0,0.3292,-0.7553,-0.6663,0.577,0,0,0,0,0.2944,0,0,-0.35,0.4977,0,0,0,0,0,-0.1698,0,0,0,0,0.7504,0,0
"A_Rspct",0,-2.8304,0,-2.7222,0,-0.671,0,0,0,0,-4.824,-0.0645,0,-4.3803,5.895,-2.345,13.8814,-6.4584,4.7833,1.7146,7.0387,-1.4382,4.2425,0,0,-2.2258,-6.5595,1.5749,-0.082,-7.2048,3.6249,0,-10.5325,0
"A_Trust",0,0.5986,0,0,-0.6036,0,0,0,-0.1815,0,0,0,0,0,0,0,0,0,0,0,0.361,0.3553,-0.3569,0,0,0,0,0,-0.3,0,0,0.2518,0,0
"C_Org",0,0,0,-0.0364,0,0,0,0,0.2892,-0.1845,0,0,0,0,0,0,0,0,0,0,0.4505,0,0,-0.2142,0,0,0,0,-0.2916,0,0,0,0,0
"C_Prdctv",-0.2349,0,0,0,0.3345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4348,0,0.0793,0,-0.3908,0.1118,0,0,-0.0549,0,0.2491,0.2075,0,0,-0.3133
"C_Rspnbl",-0.2657,0,0.4653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1959,-0.0515,-0.1628,0,0.2628,0.255,0.2098,0,0.3299,0,0,0,0,-0.4673,0
"N_Anxty",-0.3383,0,0,0.7488,0,0,0,0,0,0,0,-0.1074,0,0,0,0,0,0,0.3102,0,0,0,0,0,0.2541,0,0.5224,-0.118,-0.1973,-0.54,0,0,0,0
"N_Depr",0.2254,0,0,0,0,0,0,-0.2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2128,0,0,-0.2571,0,0.0189,0,0,0,0,0,0
"N_EmoVol",0.2189,0,0,-0.3643,0.689,0,0,0,0,0.5359,0,0,0.3341,-0.2026,0,0,0,0,0.4305,0,-0.3936,0,0.5227,0,0,-0.8216,0,0,-0.4465,0,0,-0.5499,0,0
"O_IntCur",0,0.2964,0.1527,0,0.9309,0,0.3963,0,0,0,0,0,0,0,0.1353,0,0.8366,0.1816,0.1076,0.3243,0,0,0,0,0,0,0,0,0,-0.1185,0,0,0,0
"O_AesSens",0,0,0,0,0,0,0,-0.4437,0.2771,0,-0.1029,0,0,0,0,0,0.0047,-0.1608,0.1769,-0.3221,0,0,0,0,0,0,0,0,0,0,0.0889,0,0,0
"O_CrtvImag",-0.1802,0,0.293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1951,0,0,-0.0296,0.4338,0
"angry",0,0,0,0,-0.1638,1.3502,0,-1.4945,0,0,0,-1.0458,-1.3298,0.4461,-0.147,0,0,0.9527,-0.9449,-0.75,0,-1.0355,-0.518,-0.7756,1.2971,0,0,0,1.2127,1.9864,0.4757,0,0,-1.3127
"argument",0.1523,0,-0.2821,0,0,-0.1127,0,0.0195,0,0,-0.1455,-0.3447,0,0,0,0,0,0,0,0,0,0.5278,0,0,0,-0.9385,0,0,-0.4118,0,0.1029,0,-0.3412,0
