"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","argument","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","argumentlag","angrylag"
"E_Scblty",0,0,0.3333,0.2966,0.4566,0,0,0,0,0.2879,0,0,0,0,0.2856,0,0.2711,0.2432,0,0,0,0,0,0,0,0,0,0,0,0,0.2887,0.2256,0,0
"E_Assert",0,0,0,1.276,0,0.5446,0,0,0,0,0,0,0,0.6442,0,0,0.2801,0.6535,0.2752,0,0.3483,0,0,0,0,0.297,0,0,0,0,0,0.3093,0,0.1978
"E_EnerLev",0,0,0,0.2247,0.321,0,0.4131,0,0,0,0,0,0.2882,0.27,0,0.602,0,0,0,0.224,0.2203,0,0,0.3484,0,0,0.1748,0,0.2084,0,0,0.1767,0.3876,0
"A_Cmpn",0,0.2965,0.1567,0,0.1961,0,0,0,0.1949,0,0.122,0,0,0.2038,0.1589,0,0,0.1373,0,0,0.1834,0,0,0,0.1782,0.2403,0,0,0.1608,0,0,0,0,0.1174
"A_Rspct",0.0774,0,0,0,0,0.0806,0.1543,0.1141,0,0,0,0,0,0.073,0.0871,0,0.059,0,0.0644,0,0.0759,0.0981,0.0765,0.1586,0,0.0785,0.0544,0.0588,0,0.1048,0.0862,0,0,0
"A_Trust",0,0,0.1467,0,0.2384,0,0.239,0,0,0.1152,0.1324,0,0,0,0,0,0,0.1187,0.1125,0,0,0.1717,0.0878,0,0.138,0,0,0,0.13,0.1493,0,0.1138,0,0.0849
"C_Org",0,0,38.003,0,23.3668,0,0,74.0931,77.0217,91.5765,0,16.6901,33.7666,51.3426,0,35.3153,0,0,21.552,55.0086,56.8961,0,26.9864,18.8819,0,0,0,0,0,0,0,0,29.5738,0
"C_Prdctv",0.0849,0.0776,0.1038,0,0,0.0908,0,0,0,0,0,0,0,0,0,0.2014,0,0,0.0851,0.0941,0.1029,0,0.0663,0.1755,0.0852,0,0.0725,0,0,0.1002,0,0.0916,0,0
"C_Rspnbl",0,0,0,0.1224,0,0.108,0,0.1526,0,0.1037,0,0,0.1344,0,0.1009,0.2594,0.1014,0.0958,0.0923,0,0.1296,0.1417,0.1138,0.2162,0,0.1133,0.0764,0,0.1398,0,0,0.1211,0,0.0942
"N_Anxty",0,0.5984,0,0,0,0,9.1708,0,0,0,0,0,0,0.988,0,0,0.8229,1.0683,0.7999,0,0,0,0.4928,2.0631,0,0,1.0935,0,0,1.459,1.8678,0,0,0
"N_Depr",0,0.2537,0,0,0.405,0.3054,0,0,0,0,0,0.3095,0,0,0.3385,0,0,0,0.2133,0,0.2602,0,0,0,0,0,0,0.2026,0,0,0,0.2188,0,0
"N_EmoVol",0.1292,0.1225,0,0,0,0,0,0.1254,0,0,0,0,0.1612,0,0.1743,0,0.1181,0.1189,0,0.1552,0.1359,0.1873,0,0.3295,0,0.1519,0.1033,0,0.168,0,0.1389,0,0,0.0922
"O_IntCur",0,0.0685,0.0904,0.0813,0.1389,0,0.1616,0.1218,0,0,0.0542,0.0772,0,0.0822,0,0.1935,0,0,0.0618,0.0988,0,0.0876,0.0723,0.1362,0.0764,0.0789,0.0677,0.071,0.0848,0.1105,0.0998,0.0837,0.1934,0.0622
"O_AesSens",0.0436,0.0383,0.0934,0.0465,0.079,0.0817,0.1002,0.0956,0.0654,0,0.0557,0.0671,0.0562,0,0.0616,0,0.0425,0,0.048,0.0511,0.0436,0.0507,0.0507,0.1143,0.0403,0,0.0496,0.0412,0.0357,0.0799,0.0682,0.1043,0.1221,0.0682
"O_CrtvImag",0.2332,0,0,0,0,0,0.4754,0.2292,0.2941,0,0.2963,0.3212,0.3681,0.3133,0,0,0,0,0,0,0.2437,0,0,0,0.2581,0,0,0.1581,0,0,0,0.2256,0.4449,0
"angry",0.0192,0.0119,0,0.0178,0.0324,0,0.0364,0.0264,0.0289,0.0242,0.0099,0.0132,0.0217,0.0138,0.0155,0.0435,0,0.0125,0.0144,0.016,0.0262,0.0167,0.0209,0.0273,0,0.0195,0.0142,0.0196,0.0157,0.0332,0.0257,0.0152,0.0498,0.0192
"argument",0.2146,0,0.3106,0,0,0.2102,0,0,0,0,0,0.3456,0.3123,0.3934,0,0,0.164,0.1692,0,0,0,0.2537,0,0,0,0.1759,0,0,0,0,0,0.3168,0.4325,0
