"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","argument","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","argumentlag","angrylag"
"E_Scblty",0,0,0,-0.5454,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,0,0.197,0,0,0,0,0,0,0,0,0,0,-0.0611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0.8496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1367,0,0,0,0,0,0,0,0,0,0,0,0.2583,0,0
"A_Cmpn",0.4448,0.6706,0,0,0,0,0,0,0,0,0,0,0,-0.9222,0.5523,0,-0.5509,0,0,0,-0.2149,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,-0.7486,0,0,0,0,0,0.473,0,0,0,0,0,0.5342,0,0,0,0,0,0,-0.0092,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0,0,0,0,0,0,0,0,-0.3334,0,0,0.4437,0,0,0,0,0,0,0,0,-0.0488,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0.2212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0814,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,-0.3757,0,1.4013,0,0,0.4973,0,0,0,0,0,0,0,0,0,-0.2132,0,0,0,0,0,0,0,0,0
"C_Rspnbl",-0.2433,0,0,0,0,0.1847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3346,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3905,0,0,0,0,0,0,0,0,0,0,-0.2687,0,-0.1382,0,0,-0.2542,0,0.2241,0,0
"N_Depr",0,0,-0.2638,0,0,0,0,0,0,0,0,0.2258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0251,0,0,0,0,0,0
"N_EmoVol",0,0,0.3279,0,0,0,0,-1.2693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.403,0,0,0,0,0
"O_IntCur",0,0,0,0,0,0,0,0,0,0,-0.2765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1581,0,0,0,0
"O_AesSens",0,0,0,1.0265,0,-0.3432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4713,0.3259,0,0,-0.089,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067,0,0
"angry",0,0,0,0,0,0,-0.2566,0,0,0,0.2882,0,0,0,0,0,0,0,0,0,-0.3213,0.3122,0,0,0,0,0,0.2691,0,0,0,0,0,-0.3149
"argument",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0556,0
