"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","argument","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","argumentlag","angrylag"
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2242,0.2268,0,0,0,0,0,0,0,0.3023,0,0,0,0,0,0,0,0
"E_Assert",0,0,0.4082,0,0,0,0,0,0,0,0,-0.2335,0,0,0,0,0,0,-0.3405,0,0,0,0.1914,0,0,0,0,0,0,0.7553,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0.5526,-0.3783,-0.1922,0,-0.3525,0,0,0.1665,0,0,0,0,-0.1594,0,0,0,0,0.4824,0,0,0,-0.445,0,0.2071,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,-0.2974,0,0,0,0,0,0,0,0,-0.248,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0.279,0,0,0,0,0,0,0.2296,0,0,0,0,0.4366,0,0.029,-0.348,0,0,0,0,0,0,0.2606,0,0,0,0
"A_Trust",0,0,0,0,0,0,0,-0.2527,0.3831,-0.3873,0.3073,0,0,0,0,-0.3343,-0.3365,0.2629,-0.8865,0,0,0,0.473,0,0.387,-0.2426,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0,-0.1508,0,0,0,0,0.3526,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0378,0.2543,0,0,0,0,0,-0.4357,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,-1.0444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5159,0,-0.0843,0,0,0,0,0,0,0,0,0.2772
"C_Rspnbl",-0.5777,0.4945,0,-0.2505,-0.6137,0,-0.0813,1.3652,0,0,0.1347,0,0.7034,0,0,-1.0686,0,0.0391,0,0.9526,0.1969,0,-0.6352,0,0,0.5043,1.0852,-0.6923,-0.3457,0,0.5758,-0.6802,0,0.648
"N_Anxty",0,0,0,-0.1846,0,0,0,0,0,0,0,0.5379,0,0,-0.2152,0,0,0,0,0,-0.2505,0,-0.2985,0,0,0,-0.1827,0,0.4182,0,0,0,0,0
"N_Depr",0,0,0,0,0,-0.358,0.1891,-0.2254,0,0.2526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2808,0,0,-0.1926,0,0,0
"N_EmoVol",-0.1953,0,0,0,0,0.6845,0,0,0,0,0,0,0.4082,0,0,0,0.5977,0,0.4253,0,0,0,0,0,0,0,0,0,0.2476,0,0,0,0,0
"O_IntCur",0,0.4841,0.5687,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636,0,0,0,0,0,0,0,-0.6006,0,0,0,0,-0.3113,0,0,0,0
"O_AesSens",0,0,0.2449,0,0.3358,0,-0.2903,0,0,0,0,0,0,0,0,0,0,0,0,-0.33,0,0,0,0,0,0,0,0,0,0,0.1093,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.283,0,0,0,0,0,0,0.2533,0,0,0.0805,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0.029,0,-0.0885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1135
"argument",0,0,-0.5072,0,0,0.7286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0949,0
