"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","argument","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","argumentlag","angrylag"
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0687,0.1472,0,0,0,0,0,0,0,0.0754,0,0,0,0,0,0,0,0
"E_Assert",0,0,0.0729,0,0,0,0,0,0,0,0,0.0922,0,0,0,0,0,0,0.1178,0,0,0,0.0806,0,0,0,0,0,0,0.119,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0.1343,0.0708,0.1291,0,0.1249,0,0,0.1201,0,0,0,0,0.1088,0,0,0,0,0.1246,0,0,0,0.1371,0,0.0792,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.0543,0,0,0,0,0,0,0,0,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0.0548,0,0,0,0,0,0,0.0493,0,0,0,0,0.0375,0,0.1186,0.0423,0,0,0,0,0,0,0.0628,0,0,0,0
"A_Trust",0,0,0,0,0,0,0,0.1338,0.0672,0.1414,0.1542,0,0,0,0,0.3588,0.0783,0.1166,0.14,0,0,0,0.1166,0,0.1128,0.0668,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0,0.2082,0,0,0,0,0.0937,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1356,0.1207,0,0,0,0,0,0.0759,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0.1562,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1413,0,0.1922,0,0,0,0,0,0,0,0,0.1046
"C_Rspnbl",0.0211,0.0139,0,0.0184,0.0325,0,0.0123,0.0217,0,0,0.0171,0,0.0239,0,0,0.0809,0,0.0101,0,0.0153,0.0274,0,0.0139,0,0,0.0129,0.0187,0.0179,0.0101,0,0.0176,0.0274,0,0.0071
"N_Anxty",0,0,0,0.1925,0,0,0,0,0,0,0,0.103,0,0,0.1026,0,0,0,0,0,0.2047,0,0.0942,0,0,0,0.1073,0,0.1139,0,0,0,0,0
"N_Depr",0,0,0,0,0,0.087,0.1201,0.1057,0,0.1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1059,0,0,0.0757,0,0,0
"N_EmoVol",0.1104,0,0,0,0,0.1405,0,0,0,0,0,0,0.2216,0,0,0,0.0777,0,0.1612,0,0,0,0,0,0,0,0,0,0.1388,0,0,0,0,0
"O_IntCur",0,0.1435,0.0939,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0,0,0,0,0,0,0,0.1047,0,0,0,0,0.2072,0,0,0,0
"O_AesSens",0,0,0.1183,0,0.3577,0,0.1745,0,0,0,0,0,0,0,0,0,0,0,0,0.1585,0,0,0,0,0,0,0,0,0,0,0.1346,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2353,0,0,0,0,0,0,0.1084,0,0,0.1335,0,0
"angry",0,0,0,0,0,0,0,0,0,0,0.2865,0,0.5835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1689
"argument",0,0,0.0661,0,0,0.0737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1915,0
