"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","argument","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","argumentlag","angrylag"
"E_Scblty",0,0,0,0,0.2194,0,0,0,0,0,-0.3913,-0.257,0,0,0,0,0,-0.5677,0,0,0,0.4064,0,0,0,0,0,0,0,0,-0.5044,0,0,0
"E_Assert",0,0,0,0,0,0.2368,0,0,0,0,0,0.2972,0,0,0,0,0,0,-0.0724,-0.2212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.5159,0,0,0,0,0,0,0,0,0.0285,0,0,-0.2562,0,0,0,0.1616,0,0,0,0,0,0,0
"A_Cmpn",0,-0.2142,0,0,0,0,0,0,0,0,0,0,0,0.4347,0,0,0,-0.4546,0,0,0.0954,0,0,0,0,0,0,0,-0.1989,0,0,0.2091,0,0
"A_Rspct",0,0,0.3327,0.2474,0,0,0,0,0,0,-0.5369,-0.1563,0,0,0,0,-0.5526,0,0,0,0,-0.2127,0,0,0,-0.0795,0,0,0,0,-0.1926,0.2536,0,0.3009
"A_Trust",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3466,0,0,0,-0.2318,0,0,0.0927,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0.1355,0,0,0,0,0,0,0,0,0,0.1865,0,0,0,0,-0.0964,0.2813,0,0.2252,0,0,-0.2934,0.1908,0,0,0
"C_Prdctv",0,0,0,0.3717,0,0,0.1632,0,0,-0.5039,0,0,0,0,0,-0.3868,0,0,-0.1266,0,0,0,0.2706,0,0.1298,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0.2496,0,0.5244,0,0,0.2854,0,0,0,0,0,-0.1923,0,0,0,0,0,0,0,0,0,0,0,0,-0.2052,0,0,0,-0.1407,0,-0.216,0,0
"N_Anxty",0,-0.1895,-0.3073,0,0.3632,0,-0.2827,0.287,-0.0709,0,-0.0302,-0.2015,0,0.5227,0,0,0.2128,-0.4503,0.4633,0,0.0318,-0.0488,-0.266,0,0,-0.3249,0.7503,0,0.1637,-0.0953,0.0401,-0.1855,0,-0.3067
"N_Depr",0,0,-0.5643,-0.444,0,0,0,0,0,0,0,0,0.3204,0,0,-0.3717,-0.4884,-0.8474,0,0,0,0,-0.1794,0.1551,0,0,0,-0.4586,0.3249,0.5576,0,0,0,0.4936
"N_EmoVol",0,0,0.1384,0,0,0,-0.3742,0,0,0,0,0,0,0.087,0,0,-0.4505,-0.2949,0,0.5402,0.3881,0,0,0,0,0,0.1845,0,-0.6412,0,0,0,0.5304,0
"O_IntCur",0,0,0,0,0,0,0,0,0,-0.1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2223,0,0,-0.121,-0.2835,0,0,0
"O_AesSens",-0.2147,0.2869,0.3601,0,0,0,0,0,0,0,0,-0.391,0,0,0.3625,0,0,0,0,0,0,0.5365,0,0,0,0.3594,0,0,0,0,-0.3164,0,0,0
"O_CrtvImag",0,0,-0.2207,0,0.1809,-0.3147,0,-0.1134,0,0.2267,-0.2721,0,0,0,0,0,0,0,0,0,-0.3683,0,0,0,0,0,0,0,0,0,0,-0.2204,0,0
"angry",0,0,0,0,0,0.1735,0,0,0,0.2682,0,0.3032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1779,0,0.6682
"argument",-0.3892,0.3514,0,0,-0.1757,0,0,0,-0.2689,0,0,0,0,-0.2951,0,0,-0.2361,0,0,0,0,0,0,0,-0.133,0,0,-0.2368,0,0,0,0,0.2932,0
