"","E_Scblty","E_Assert","E_EnerLev","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","N_Anxty","N_Depr","N_EmoVol","O_IntCur","O_AesSens","O_CrtvImag","argument","angry","E_Scbltylag","E_Assertlag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_IntCurlag","O_AesSenslag","O_CrtvImaglag","argumentlag","angrylag"
"E_Scblty",0,0,0,0.2473,0,0,0,0.1116,0,0,0,0,0,0,0,0,0,0.1389,0,0.1728,0,0,0,0,0,0,0.2643,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0.1132,0,0,0.0467,0,0,0,0,0,0,0,0,0,0,0.1113,0,0,0.1131,0,0,0,0,0,0,0,0,0.0531,0,0,0
"E_EnerLev",0.2574,0,0,0.2409,0,0.2704,0.1895,0,0,0.844,0,0,0,0.1877,0.3727,0,0,0,0,0.3686,0,0,0,0.2115,0,0,0,0,0,0,0,0,0.5856,0
"A_Cmpn",0.1025,0,0,0,0.1825,0,0,0.0657,0,0.1554,0.24,0.1497,0,0,0,0,0.1828,0,0,0,0.1207,0,0.1237,0.0783,0,0.1264,0,0.223,0,0,0.0749,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0.3261,0,0,0,0,0,0,0.0698,0,0.0844,0.0996,0.1279,0,0,0.0555,0,0,0,0,0,0,0.0817,0,0
"A_Trust",0,0,0,0,0,0,0.0932,0,0.1799,0,0.3281,0,0.1403,0,0,0,0.2099,0.1089,0.2262,0,0,0.1885,0.1253,0,0.0883,0.1834,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0.2093,0,0,0,0,0,0.1865,0,0,0,0,0,0,0,0,0.1317,0.1114,0,0,0,0,0.1157,0,0,0,0
"C_Prdctv",0,0,0,0,0.283,0,0,0,0.1898,0,0,0.2547,0,0,0,0,0.2855,0,0,0,0,0,0,0,0.1262,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0.7408,0,0,0,0,0.2969,1.1109,0,0.1915,0,0,0,0.4551,0,0.2623,0.2292,0,0,0,0.1472,0,0.2238,0.3564,0,0.3096,0,0,0,0.68,0
"N_Anxty",0,0.1237,0.1428,0,0,0.0979,0,0,0,0,0,0,0,0,0.0868,0,0,0.0642,0.1224,0,0,0,0,0,0.0638,0,0.1346,0,0,0.069,0,0,0,0
"N_Depr",0.0054,0.0091,0,0.0083,0.0097,0.0096,0.0039,0.0047,0.0153,0.0077,0,0.0101,0.0064,0.0028,0.0106,0,0.0149,0.0035,0.0091,0.0061,0.0072,0.0126,0.0077,0.006,0.0038,0.0101,0.007,0.0139,0.0153,0.0058,0.0076,0.0077,0.2283,0.0165
"N_EmoVol",0,0,0,0,0.1143,0,0,0,0,0,0,0,0,0.0511,0.0661,0,0,0,0,0,0,0.1165,0,0,0,0,0,0.1611,0.1141,0,0,0,0,0
"O_IntCur",0.1568,0,0,0,0,0.2692,0,0.108,0,0.2826,0.4204,0,0,0.1257,0.2054,0,0.3283,0.1307,0.2395,0.2379,0,0.3208,0,0,0.1253,0,0.2738,0,0,0.1287,0,0,0,0.2784
"O_AesSens",0,0.2381,0,0.1741,0,0,0,0.1031,0.222,0.2594,0,0,0,0,0.2106,0,0,0,0,0,0,0,0,0.1352,0.107,0.2281,0.2505,0,0,0,0.1172,0.1646,0,0
"O_CrtvImag",0,0,0.1793,0.1278,0.2166,0,0.1133,0,0,0,0.3155,0,0,0.1031,0,0,0,0,0,0,0,0,0,0.1095,0,0,0.2131,0.3005,0.1825,0.0959,0,0.1094,0,0
"angry",0,0,0,0.1002,0.143,0,0.0694,0,0.1236,0,0,0,0.0842,0,0.0773,0,0,0,0,0,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0.1389
"argument",0,0,0,0,0,0.0525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0772,0,0,0,0,0,0.1942,0
