"file","lhs","op","rhs","beta","se","z","pval","level"
"01","E_Scblty","~","E_Scbltylag",48.1782131234235,574.154897025678,0.0839115252225547,0.933126776077982,"group"
"01","E_Assert","~","E_Assertlag",-1.04814935218122,14.3867274640277,-0.072855300470659,0.941921264423912,"group"
"01","E_EnerLev","~","E_EnerLevlag",-0.0829133128225494,7.1003365362575,-0.0116773778819013,0.990683012223719,"group"
"01","A_Cmpn","~","A_Cmpnlag",0.0659777851760646,7.33601521811641,0.00899368161248239,0.992824177034393,"group"
"01","A_Rspct","~","A_Rspctlag",0.136984607904625,7.51775017643295,0.0182214897661872,0.985462159127354,"group"
"01","A_Trust","~","A_Trustlag",0.152837448826531,7.03756768513039,0.0217173682250275,0.982673409200022,"group"
"01","C_Org","~","C_Orglag",-0.266347618868713,7.2940871641426,-0.0365155519635228,0.970871278305611,"group"
"01","C_Prdctv","~","C_Prdctvlag",0.405749048456828,7.2523192871272,0.055947488298954,0.955383639854799,"group"
"01","C_Rspnbl","~","C_Rspnbllag",1.81011664916292,22.4942274738434,0.0804702740410956,0.935863237423736,"group"
"01","N_Anxty","~","N_Anxtylag",-0.262130777985945,7.8997045799448,-0.0331823519896457,0.97352917144463,"group"
"01","N_Depr","~","N_Deprlag",0.142161847336754,6.70321690104862,0.0212080034758407,0.98307972986887,"group"
"01","N_EmoVol","~","N_EmoVollag",-0.0379221361553722,7.00030062216689,-0.00541721537433541,0.995677708630772,"group"
"01","O_IntCur","~","O_IntCurlag",-0.20449166024962,7.29477895732069,-0.0280326054354809,0.977636145982236,"group"
"01","O_AesSens","~","O_AesSenslag",0.0886438052077044,7.08918518847958,0.0125040893771201,0.99002344011604,"group"
"01","O_CrtvImag","~","O_CrtvImaglag",0.0176284283174138,7.04581627176341,0.00250197104742298,0.998003718012426,"group"
"01","angry","~","angrylag",0.237808810735815,6.9044206801481,0.0344429781660862,0.972523912166928,"group"
"01","tired","~","tiredlag",-0.170795191381451,9.24644839126939,-0.01847143726479,0.985262763438119,"group"
"01","C_Prdctv","~","E_EnerLev",0.30778004050156,6.35745085595581,0.0484124922826928,0.9613875035778,"ind"
"01","C_Prdctv","~","N_Depr",-0.554885552483139,6.57507798094431,-0.0843922390108971,0.932744577647014,"ind"
"01","O_AesSens","~","N_Anxty",-0.291440969751187,6.21775727090421,-0.0468723620194979,0.96261495578843,"ind"
"01","C_Prdctv","~","N_EmoVol",-0.455230067920492,7.07433874668736,-0.0643494868172179,0.948691950292217,"ind"
"01","N_Depr","~","O_AesSens",-0.157569418796249,8.03486809379896,-0.0196107038667947,0.984353925025121,"ind"
"01","N_Depr","~","O_IntCur",0.41641122924076,8.26909852283847,0.0503575121387985,0.959837493803824,"ind"
"01","E_Assert","~","C_Orglag",0.852704951313354,12.1912192972104,0.0699441893813254,0.944238081190658,"ind"
"01","A_Rspct","~","N_EmoVol",-0.211301399432342,6.39963105837169,-0.0330177470396403,0.973660435265831,"ind"
"01","A_Rspct","~","A_Cmpn",-0.460421384885868,9.01716943668028,-0.0510605227193529,0.959277293241362,"ind"
"01","A_Rspct","~","angrylag",-0.878580115203367,10.8148854821887,-0.081238041461495,0.935252646769201,"ind"
"01","N_Depr","~","angrylag",1.19564397512201,14.1590187629303,0.0844439855007698,0.932703436776669,"ind"
"01","O_AesSens","~","E_EnerLev",0.177897750651087,5.60186826561049,0.0317568607857471,0.974665949375146,"ind"
"01","C_Org","~","C_Rspnbl",0.707814463499385,14.2703806439236,0.0496002511187938,0.960440946516108,"ind"
"01","tired","~","N_Deprlag",0.672531103583785,18.996338884089,0.0354031957256292,0.971758236490399,"ind"
"01","tired","~","A_Rspctlag",0.536116518983035,18.1807593101227,0.029488125871868,0.976475289006268,"ind"
"01","angry","~","N_Anxty",0.364363555378228,6.22450500245823,0.0585369527752537,0.953320928887026,"ind"
"01","E_Assert","~","C_Org",0.874250177341855,12.5612270187587,0.0695991065232929,0.944512748108961,"ind"
"01","C_Rspnbl","~","O_AesSens",0.992917560851468,14.2158843095421,0.0698456416239258,0.944316519094251,"ind"
"01","C_Rspnbl","~","E_Scblty",-3.32030084968984,36.3735313259302,-0.0912834340976631,0.927267380703088,"ind"
"01","E_Scblty","~","C_Rspnbl",76.3074444248729,971.212344562958,0.0785692694826804,0.937375231352057,"ind"
"01","A_Rspct","~","E_EnerLevlag",-0.361947073830459,7.38799541375858,-0.0489912423546459,0.960926275149099,"ind"
"01","A_Rspct","~","E_Assert",0.630339483871211,7.89853658395588,0.0798045912899366,0.93639267265256,"ind"
"01","N_Anxty","~","E_EnerLevlag",-0.303170776992093,8.66794067568491,-0.0349761019757023,0.972098797071581,"ind"
"01","N_Anxty","~","O_CrtvImaglag",0.313564079937625,9.43136008533194,0.0332469630149413,0.973477647733764,"ind"
"01","E_Scblty","~","N_Anxty",9.92739348050006,158.590022481636,0.0625978439573626,0.950086746325033,"ind"
"01","E_Scblty","~","O_IntCur",-45.7275084183855,539.15135670652,-0.0848138613574455,0.932409373479342,"ind"
"01","A_Rspct","~","C_Org",-0.277714352713196,7.83187884475863,-0.0354594801857861,0.971713356168399,"ind"
"01","E_Assert","~","O_IntCurlag",-0.682493363614687,11.0942873897292,-0.0615175485941101,0.950947039117191,"ind"
"01","O_IntCur","~","E_Assert",-0.458685062546071,7.7187577170189,-0.0594247260196711,0.952613819340185,"ind"
"01","angry","~","E_Scblty",-0.296730898286493,4.5910154588469,-0.0646329555947566,0.94846624478815,"ind"
