"file","lhs","op","rhs","beta","se","z","pval","level"
"01","E_Scblty","~","E_Scbltylag",-0.107523951990351,0.155263887998776,-0.692523891912322,0.488608387225328,"group"
"01","E_Assert","~","E_Assertlag",-0.194845675026907,0.138498502891527,-1.40684318573113,0.15947389362343,"group"
"01","E_EnerLev","~","E_EnerLevlag",-0.127315931773797,0.108713884439087,-1.17111013400623,0.241554510946359,"group"
"01","A_Cmpn","~","A_Cmpnlag",-0.0284089938586405,0.120679477407759,-0.23540865828123,0.813891566549914,"group"
"01","A_Rspct","~","A_Rspctlag",0.00105094770273208,0.0847514838894829,0.0124003457461881,0.990106209140168,"group"
"01","A_Trust","~","A_Trustlag",0.11911388339673,0.133778978475646,0.890378180144456,0.373262854604112,"group"
"01","C_Org","~","C_Orglag",-0.0421351607229062,0.111346543412087,-0.37841462726837,0.705122603695867,"group"
"01","C_Prdctv","~","C_Prdctvlag",0.290542433953035,0.0974048540071816,2.98283321621336,0.00285593577649879,"group"
"01","C_Rspnbl","~","C_Rspnbllag",0.37102438931543,0.125887157547649,2.9472775185586,0.00320585349496949,"group"
"01","N_Anxty","~","N_Anxtylag",-0.253058925145934,0.107607681627061,-2.35168085883467,0.0186888017881934,"group"
"01","N_Depr","~","N_Deprlag",0.0745223813501348,0.0879129066413035,0.847684193336892,0.396613871626503,"group"
"01","N_EmoVol","~","N_EmoVollag",-0.0850115347424097,0.111545510634639,-0.762124215118442,0.445985871647134,"group"
"01","O_IntCur","~","O_IntCurlag",-0.154488748522302,0.124568335608048,-1.24019276462357,0.214904103939438,"group"
"01","O_AesSens","~","O_AesSenslag",-0.0509958827923099,0.14179666546636,-0.359640916974936,0.719115680817972,"group"
"01","O_CrtvImag","~","O_CrtvImaglag",0.0501983330471164,0.141178801565477,0.355565654974306,0.72216586820788,"group"
"01","angry","~","angrylag",0.162703104490937,0.131138093731496,1.24070054597614,0.214716392544985,"group"
"01","sick","~","sicklag",0.816909705128066,0.0599552437577242,13.6253253915396,0,"group"
"01","C_Prdctv","~","E_EnerLev",0.349003538506984,0.0814888488514378,4.28283800085643,1.84524520772111e-05,"ind"
"01","C_Prdctv","~","N_Depr",-0.324585695632671,0.0839103105089939,-3.86824567402691,0.000109621190710119,"ind"
"01","O_AesSens","~","N_Anxty",-0.297713797094912,0.0961913541058657,-3.09501617751691,0.00196802162584553,"ind"
"01","C_Prdctv","~","N_EmoVol",-0.232047438611897,0.0860426053693095,-2.69688996068762,0.0069990394443209,"ind"
"01","N_Depr","~","O_AesSens",-0.196159997990764,0.0910426248298891,-2.15459515097774,0.0311935288271969,"ind"
"01","N_Depr","~","O_IntCur",-0.306357928051392,0.0834001979057829,-3.67334773470782,0.000239393351881168,"ind"
"01","E_Assert","~","C_Orglag",0.318966396586186,0.114763228630357,2.77934317806231,0.00544689467967197,"ind"
"01","A_Rspct","~","N_EmoVol",-0.216502148500036,0.0902953121180211,-2.39771194563296,0.0164978334560737,"ind"
"01","A_Rspct","~","A_Cmpn",-0.316793104770003,0.0805132141439874,-3.9346721918648,8.3310323569119e-05,"ind"
"01","A_Rspct","~","angrylag",-0.649190071818733,0.083819168222073,-7.7451266290158,9.54791801177635e-15,"ind"
"01","N_Depr","~","angrylag",0.595972303689581,0.100325605022554,5.94038085846181,2.84360668345585e-09,"ind"
"01","O_AesSens","~","E_EnerLev",0.231866638071593,0.0959811702531636,2.41575131309623,0.0157027820394458,"ind"
"01","C_Org","~","C_Rspnbl",0.274017036719859,0.102609272840776,2.67048999699146,0.00757406282842021,"ind"
"01","angry","~","N_Anxty",0.225089656068842,0.0975092868271145,2.30839198391359,0.0209773444429784,"ind"
"01","E_Assert","~","C_Org",0.200880088548643,0.103605276846836,1.93889823628977,0.0525137307697163,"ind"
"01","N_Anxty","~","C_Rspnbl",-0.157003901787212,0.103311102715872,-1.5197195428163,0.128581477763479,"ind"
"01","E_Scblty","~","O_AesSens",0.254364016116164,0.100593610197388,2.52862995588928,0.0114508685596029,"ind"
"01","E_Scblty","~","A_Trustlag",0.269438170160703,0.110801867313848,2.43171145660853,0.0150276735981318,"ind"
"01","A_Rspct","~","E_EnerLevlag",-0.394612839097961,0.0980564710544956,-4.02434265535267,5.71346782247684e-05,"ind"
"01","A_Rspct","~","E_Assert",0.365477227322104,0.110633886665511,3.30348357395308,0.00095491563544492,"ind"
"01","sick","~","C_Prdctvlag",0.260931225692848,0.0373084986836219,6.99388168646396,2.67386113250723e-12,"ind"
"01","sick","~","C_Orglag",-0.11994596992205,0.0202825877883615,-5.91374094733993,3.34423710945941e-09,"ind"
"01","angry","~","E_Scblty",-0.257758550281961,0.100134508399403,-2.57412309105117,0.0100494513521432,"ind"
"01","O_IntCur","~","C_Rspnbl",0.212646803229575,0.103276153878264,2.05901164251556,0.039493123191497,"ind"
"01","O_IntCur","~","E_Assert",-0.236980315661816,0.105659769414972,-2.24286232095672,0.0249056941686188,"ind"
"01","N_Anxty","~","E_EnerLevlag",-0.35407475644308,0.109148633228969,-3.24396876047282,0.00117876673605188,"ind"
"01","N_Anxty","~","O_CrtvImaglag",0.250298062354957,0.103565572048341,2.41680760705041,0.0156572904505725,"ind"
"01","N_Anxty","~","C_Orglag",0.280023133108342,0.107336443103217,2.60883559220484,0.00908508798845564,"ind"
"01","A_Rspct","~","C_Org",-0.196360711199367,0.08120706754118,-2.41802489789196,0.0156050090162185,"ind"
"01","E_Assert","~","O_IntCurlag",-0.254268298361661,0.11488467247593,-2.2132482330481,0.0268805364288107,"ind"
"01","E_Assert","~","O_AesSens",0.179478063456642,0.105068451209329,1.70820128583665,0.0875990000276681,"ind"
"01","N_EmoVol","~","E_Scblty",-0.177327063356602,0.103725561102797,-1.70957921529932,0.087343711824079,"ind"
"01","C_Rspnbl","~","E_Scblty",-0.239226959793411,0.104510181848435,-2.28903017449866,0.022077599241914,"ind"
"01","C_Rspnbl","~","O_AesSens",0.193699539881712,0.106192505775412,1.82404152220845,0.0681457951194722,"ind"
"01","N_EmoVol","~","E_Assert",-0.218529365472902,0.106046797521803,-2.06068802245512,0.0393328130520612,"ind"
"01","E_Assert","~","A_Rspct",-0.296282705652376,0.151485131468245,-1.95585337505209,0.0504824291320429,"ind"
"01","N_Depr","~","E_Assert",-0.296549279508391,0.0894437328820831,-3.31548415917907,0.000914845258450647,"ind"
"01","N_Depr","~","C_Orglag",0.332375105680947,0.10003275798067,3.32266261963082,0.000891626830114234,"ind"
"01","N_Depr","~","A_Cmpn",0.206056541906903,0.0844816740011151,2.43906793210777,0.0147251998443161,"ind"
"01","N_Depr","~","O_CrtvImag",0.176058569129402,0.0855916251198231,2.05696023276729,0.039690051288594,"ind"
"01","N_Depr","~","N_Anxtylag",-0.280159246883879,0.109444761601903,-2.55982326411324,0.0104725406807706,"ind"
"01","A_Trust","~","angry",-0.259140069360942,0.12304578762285,-2.106045841693,0.0352003705393948,"ind"
"01","E_EnerLev","~","C_Rspnbllag",0.392106641399508,0.122077936044445,3.21193701420995,0.00131843277496979,"ind"
"01","E_EnerLev","~","N_Deprlag",0.299719703019778,0.122037434802464,2.45596528233259,0.0140506730901322,"ind"
"01","angry","~","C_Org",-0.276742393759273,0.100050640727184,-2.7660232033285,0.00567444970881414,"ind"
"01","C_Org","~","A_Trust",-0.217688070757785,0.10605690829592,-2.05255908601815,0.0401153590407675,"ind"
