"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","status"
"72",351.4557,328,301,0.1786,0.0277,0.0757,0.9182,0.9522,3347.5099,2585.1974,-991.5987,"converged normally"
"73",336.1869,315,314,0.197,0.0275,0.0745,0.9118,0.9505,4909.9093,4128.4774,-1750.2387,"converged normally"
"74",326.1666,310,319,0.253,0.0241,0.0752,0.9199,0.9557,4937.9607,4140.5215,-1751.2607,"converged normally"
"76",1675.074,300,329,0,0.211,0.0998,-0.2255,0.3447,4101.0453,3234.2194,-1288.1097,"converged normally"
"77",1928.5055,334,295,0,0.2185,0.1028,-0.2166,0.2757,4990.7174,4222.1922,-1816.0961,"converged normally"
"78",2349.127,361,268,0,0.2371,0.1176,-0.2619,0.188,4075.0192,3382.2479,-1423.1239,"converged normally"
"80",1938.6581,341,288,0,0.2282,0.1518,-0.304,0.2074,3526.3637,2806.4185,-1115.2093,"converged normally"
"81",364.8719,351,278,0.2939,0.0203,0.083,0.9339,0.9586,5507.0086,4794.1198,-2119.0599,"converged normally"
"82",339.2983,320,309,0.2194,0.026,0.0753,0.9159,0.952,4410.5595,3641.5708,-1511.7854,"converged normally"
"84",330.9201,304,325,0.1383,0.0315,0.0966,0.9109,0.9517,4967.6354,4158.8286,-1754.4143,"converged normally"
"85",278.0987,168,461,0,0.0858,0.0779,0.478,0.8437,5123.1831,3975.9218,-1526.9609,"converged normally"
"86",361.7438,343,286,0.2332,0.0242,0.084,0.9224,0.9525,5521.8827,4797.5593,-2112.7796,"converged normally"
"87",1420.6821,341,288,0,0.1886,0.1199,-0.1076,0.3268,4651.155,3934.4277,-1679.2139,"converged normally"
"88",1889.2334,324,305,0,0.233,0.1017,-0.2438,0.2816,4629.0166,3869.9825,-1629.9912,"converged normally"
"89",1782.9721,323,306,0,0.2241,0.1218,-0.1471,0.3396,5071.186,4306.2443,-1847.1221,"converged normally"
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"92",1795.74,290,339,0,0.2402,0.093,-0.2681,0.3445,3397.1847,2549.7492,-935.8746,"converged normally"
"93",2186.0461,293,336,0,0.2694,0.09,-0.3826,0.2779,4407.7817,3571.5999,-1449.8,"converged normally"
"95",1909.8217,294,335,0,0.2485,0.1027,-0.1897,0.3765,3698.5002,2864.807,-1097.4035,"converged normally"
"96",2285.8798,305,324,0,0.2701,0.1049,-0.3005,0.2929,4429.5554,3623.2373,-1487.6186,"converged normally"
"98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"99",2160.2844,366,263,0,0.2334,0.1293,-0.1971,0.219,3634.0858,2976.6359,-1225.3179,"converged normally"
