"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,0,0,0,0,0.1374,0,0,0,0,0.1051,0,0,0,0,0,0,0,0.1083,0,0.1065
"E_quiet",0.2119,0,0.1957,0,0.1437,0,0,0.278,0.2906,0,0,0.1785,0.2526,0,0,0,0,0,0,0.2095,0,0
"C_lazy",0.1254,0,0,0.1062,0,0,0,0,0.1704,0,0,0.1334,0.1454,0.1125,0,0,0,0,0.1518,0,0,0.1512
"N_relaxed",0,0.1751,0,0,0.1124,0,0.2274,0,0,0.1735,0,0,0.235,0,0.1114,0.1401,0,0,0,0,0,0
"N_depressed",0,0.4552,0,0,0,0,0,0.2512,0,0,0,0,0,0,0,0,0.1995,0,0,0.1974,0.2139,0
"E_outgoing",0,0,0.2584,0,0,0,0,0,0.3753,0.5944,0,0,0,0.2957,0,0.3008,0,0,0.5927,0.4848,0.3042,0.4988
"A_kind",0,0,0,0,0,0,0,0.2066,0,0.2218,0,0,0,0,0,0,0.1494,0,0,0,0,0
"C_reliable",0,0,0,0,0,0,0,0,0.0907,0,0,0,0.0983,0,0,0.0722,0,0.1186,0,0,0.0821,0
"N_worried",0,0,0.0785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1399,0,0.113,0
"self_esteem",0,0.203,0,0,0.201,0,0,0,0.1784,0,0,0.1823,0,0,0,0,0.1678,0,0.252,0,0.2321,0
"negEmo",0,0,0.1045,0,0.0923,0.1184,0,0,0,0,0,0.119,0.1383,0.0967,0,0,0,0,0,0,0,0.1405
