"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,0,0,0,0,0,0,0,0,0,-0.3906,0,0,0,0,0,0,0,0,0,0
"E_quiet",0.529,0,0,-0.4648,-0.8153,0,0,0,0,0,0,0,0.2639,0,0,0,0,0,0,0,0,0
"C_lazy",0,0,0,0,0,0,0,0,0,0,0.3222,0,0,-0.1849,0,0,0,0,0,0,0,0
"N_relaxed",0,0,0.5162,0,0,0,0,0,0,0,0,0,0,0,-0.0225,0,0,0,0,0,0,0
"N_depressed",0,-0.358,0,0,0,0.1464,0,0.445,0,0,0,0,0,0,0,0.5326,0,0,0.3986,-0.3402,0,0
"E_outgoing",0,0,0,-0.2143,0,0.1721,0,0,0,-0.4135,0,0,0,0,0,0.508,0,0,0,0,0,0
"A_kind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1229,0,0,0,0,0
"C_reliable",0,0,-0.3556,0,0,0,0,0,-0.437,0,0,0,0,-0.4479,0,0,0,-0.601,0,0,0,0
"N_worried",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3645,0,0,0
"self_esteem",0,0,0,-0.1514,0,0,0,0,0.6405,0,0,0,0,0,0,0,0,0,0,0,-0.2576,0
"negEmo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1574
