"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,0,0,0,0,0,0,0,0,0,-0.031,0,0,0,0,0,0,0,0,0,0
"E_quiet",0,0,0,-0.2807,0,0,0,0,0,0,0,0,-0.0799,0,0.2965,0,0,0,0,0,0,0
"C_lazy",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1404,0,0,0,0,0,0,0,0
"N_relaxed",0,0,0.3748,0,0,0,0.307,0,0,0,0,0,0,0,-0.0487,0,0,0,0,0,0,0
"N_depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2823,0,0,0.2675,0,0
"E_outgoing",0,0,0.2988,0,0,0,0,0,0,0,0,0,0,0,0,-0.0173,0,-0.3783,0,0,0,0
"A_kind",0,0,0.2787,0,0.2417,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0
"C_reliable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373,0,0,-0.3144,0
"N_worried",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341,0,0,0
"self_esteem",0,-0.3693,0,0,0,0,-0.6549,0,0,0,-0.5864,0,0,0,0,0,0.3763,0,0,0,-0.3167,0
"negEmo",0.2972,0,0,0,0,0,0,0,0,0.7901,0,0,0,0,0,0,0,0,0,0,0,-0.1239
