"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,0.0767,0,0,0.1341,0,0.2738,0,0.2108,0.1443,0.1682,0.1026,0.0921,0,0.0898,0.089,0,0,0.2962,0.1368,0
"E_quiet",0.1683,0,0.162,0,0.2227,0,0.2343,0.3508,0.309,0.321,0.2177,0.234,0.1394,0.1259,0.2406,0.1881,0.1547,0.2415,0.437,0.3584,0.2878,0.2837
"C_lazy",0,0.1698,0,0,0,0,0,0,0,0,0,0.2294,0,0.1228,0,0,0.1338,0,0.2648,0,0.2456,0.1974
"N_relaxed",0,0,0.0918,0,0,0,0,0,0,0,0.1073,0.1341,0.0978,0.0897,0.1062,0.1005,0,0,0.1878,0.2655,0,0.1188
"N_depressed",0,0,0.049,0,0,0,0.148,0.1068,0,0.1451,0.1243,0.0953,0,0.0606,0,0.0695,0.0503,0.0854,0,0.1351,0.0771,0
"E_outgoing",0.1647,0,0,0.1189,0,0.1306,0.312,0.1687,0,0,0.1406,0.1313,0.1165,0.0924,0.1349,0.1224,0,0.1423,0.2054,0,0.161,0
"A_kind",1.085,0.3754,0,0,0,0,0,1.03,0,0.6034,0,0,0,0,0,0.2688,0.2452,0,0.4994,0.7132,0,0.436
"C_reliable",0.1517,0.1301,0,0,0,0.0964,0,0,0.2489,0.1766,0,0.1886,0.1365,0.0836,0.0766,0,0.0733,0.138,0.1482,0,0.1136,0
"N_worried",0.2718,0,0,0,0,0.1995,0,0,0,0,0,0,0.0979,0,0,0.0969,0.0823,0.1487,0.2523,0,0.1748,0
"self_esteem",0,0,0.0926,0,0.1447,0.1041,0.1844,0,0.2578,0,0.1545,0.1404,0.1282,0.1059,0.1524,0.1085,0,0,0.22,0.2337,0.1355,0
"negEmo",0,61.5789,0,0,38.2868,0,0,0,0,0,0,63.0692,50.1235,26.9696,30.5672,13.0911,0,0,25.6272,0,39.8515,31.0863
