"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,0.2468,0,0,0.8493,0,0.3153,0,-0.2531,0.2537,-0.1381,0.1148,0.2603,0,0.1565,0.1114,0,0,0.5031,0.1914,0
"E_quiet",0.2152,0,-0.3413,0,-0.5982,0,-0.7051,0.5951,-0.8832,-0.3318,0.2723,0.8186,0.6598,-0.3161,-0.981,0.0769,-1.0749,0.8001,-0.6713,0.0169,0.1491,-0.5628
"C_lazy",0,0.3407,0,0,0,0,0,0,0,0,0,-0.2098,0,0.0967,0,0,-0.0972,0,-0.3247,0,0.2235,0.3006
"N_relaxed",0,0,0.3533,0,0,0,0,0,0,0,-0.2571,-0.242,0.0667,-0.1103,0.277,-0.1046,0,0,-0.1185,0.5894,0,0.1048
"N_depressed",0,0,0.2444,0,0,0,-0.4693,0.4458,0,-0.056,0.4425,0.4735,0,-0.4358,0,-0.114,-0.5133,0.0533,0,0.0616,0.1671,0
"E_outgoing",0.2506,0,0,-0.333,0,-0.532,0.7519,0.1323,0,0,0.2561,-0.3276,-0.4428,0.4346,-0.3674,-0.5736,0,0.2892,-0.3547,0,0.3656,0
"A_kind",-0.821,-0.6996,0,0,0,0,0,-1.158,0,0.2116,0,0,0,0,0,-0.1503,0.3999,0,-0.2705,-0.3858,0,0.5157
"C_reliable",-0.211,-0.6348,0,0,0,0.6859,0,0,-0.0945,0.3787,0,0.6284,0.3567,-0.2992,-0.2512,0,-0.4238,-0.0505,0.1661,0,-0.5274,0
"N_worried",0.4622,0,0,0,0,0.6911,0,0,0,0,0,0,0.1217,0,0,-0.3552,0.1936,-0.3481,0.6781,0,-0.5886,0
"self_esteem",0,0,-0.1531,0,-0.6861,-0.4165,-0.6357,0,0.2621,0,0.488,-0.6903,-0.3742,0.3268,-0.6963,0.5658,0,0,-0.4556,0.1863,0.2638,0
"negEmo",0,14.1909,0,0,-8.2896,0,0,0,0,0,0,-8.8447,-10.5837,7.2019,-6.6873,2.7339,0,0,-3.0469,0,5.8754,-5.2493
