"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0.0818,0,0.1292,0.1464,0,0,0,0,0.2678,0,0.1608,0,0.2292,0,0.067,0.0573,0.1466,0,0,0,0.1967
"E_quiet",0.4704,0,0,0,0,0.225,0,0,0,0,0,0,0.1777,0,0.1891,0,0,0,0,0,0,0.3074
"C_lazy",0.3512,0.2485,0,0,0,0.2146,0.7693,0,0.347,0,0.4402,0,0,0.3076,0,0,0.1473,0,0.2338,0,0.6777,0.3869
"N_relaxed",0.2159,0,0,0,0,0,0,0,0.1345,0,0,0,0,0.1515,0.1032,0.0813,0,0.192,0.1268,0.1175,0.276,0.2153
"N_depressed",0.3399,0,0.6527,0,0,0,0,0,0,0,0,0.3395,0.1864,0.3093,0.1629,0,0,0.2678,0,0.2045,0,0.3893
"E_outgoing",0.1432,0,0.1167,0,0,0.0525,0.1431,0.12,0.0859,0.1584,0.2047,0.0909,0,0.1085,0.0588,0.063,0,0.0928,0.0747,0.0937,0.1643,0.13
"A_kind",0.2503,0.1079,0.162,0.1488,0.1091,0,0.2304,0.1323,0,0.3125,0,0.2097,0.1417,0,0.1102,0.1031,0.1,0.1764,0,0.1282,0,0.2079
"C_reliable",0,0,0.78,0.2945,0,0,0,0.7055,0.5126,0,0,0.5116,0,0.4602,0,0,0,0.3948,0,0,0,0
"N_worried",0.2227,0,0.169,0,0,0,0,0,0.1315,0,0.1605,0.1624,0.1078,0.1445,0.0844,0.0638,0,0.159,0.1045,0.1128,0.2073,0.2073
"self_esteem",0,0,0,0,0.0467,0,0,0.0668,0,0,0,0,0.0472,0,0,0,0.0391,0,0,0,0.1407,0.088
"negEmo",0,0.0955,0,0.1348,0,0,0,0,0.1979,0,0,0,0,0,0,0,0,0,0,0,0.2863,0.2054
