"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0.0825,0,0,0,0,0,0,0,0,0,0.1329,0,0,0,0.1083,0,0.1208,0,0,0,0.1835
"E_quiet",0.0151,0,0.0054,0.0048,0.0063,0.0052,0,0.0071,0.0086,0,0.008,0,0.0061,0.0075,0,0.0048,0.0046,0.0098,0.0091,0.0291,0,0.0271
"C_lazy",0,0,0,0,0,0,0.1514,0,0.1732,0,0,0.1462,0,0.1037,0,0.1273,0,0,0,0.205,0.1557,0
"N_relaxed",0,0,0.1144,0,0,0,0,0.1788,0.3062,0,0,0.1415,0,0,0.1371,0,0,0,0,0,0,0
"N_depressed",0,0,0,0,0,0,0,0,0,0.1092,0.1055,0,0.0496,0,0,0,0,0,0.0675,0.1149,0,0
"E_outgoing",0,0.0621,0,0.1019,0,0,0.1485,0,0,0.1001,0.1356,0.1314,0,0,0.1282,0.106,0,0,0,0.1503,0,0
"A_kind",0,0,0,0,0,0,0,0,0.2299,0,0,0,0.0971,0,0.1635,0,0.1317,0,0,0.2008,0,0
"C_reliable",0,0,0,0.1048,0.1277,0,0,0.1094,0,0,0.2076,0.1417,0,0,0.123,0,0,0.1278,0,0.1349,0,0.1307
"N_worried",0,0,0,0.2241,0,0.0994,0,0,0.2916,0.1833,0,0,0.1025,0.1019,0,0,0.1203,0,0.1477,0,0,0
"self_esteem",0.3514,0,0,0,0,0,0.4048,0,0.4501,0,0.6735,0,0,0.1846,0,0.3111,0.1542,0,0,0,0.3897,0
"negEmo",0,0,0,0,0,0,0.2148,0.1742,0,0,0,0,0,0.0907,0,0,0.1046,0,0,0,0,0.1475
