"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0.0894,0,0,0.1804,0.1029,0.1194,0,0.1247,0,0,0.1707,0,0,0,0,0,0.1063,0,0.1635,0,0
"E_quiet",0,0,0,0,0,0.145,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0
"C_lazy",0,0,0,0.1335,0,0,0,0,0,0,0,0,0,0.1162,0,0,0,0,0,0,0,0
"N_relaxed",0,0,0,0,0,0.1457,0,0,0,0,0,0,0,0,0.1432,0,0,0,0.2666,0,0,0.3116
"N_depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765,0,0,0.0904,0.0878,0,0.1315,0.1024,0
"E_outgoing",0.1077,0,0,0.0984,0,0,0,0,0,0,0,0,0,0,0.0819,0.1185,0,0,0.1432,0,0,0
"A_kind",0,0,0.1267,0,0,0,0.1386,0.3393,0,0,0,0,0,0,0,0,0.1336,0,0,0,0,0
"C_reliable",0.1462,0,0,0,0.1629,0,0,0,0,0,0.2127,0,0,0.0819,0,0,0.0978,0.108,0,0,0.1002,0.2156
"N_worried",0.0512,0.0368,0,0.043,0.0497,0.0383,0,0,0.0669,0.0371,0.0829,0,0,0.0319,0,0,0.0336,0.0393,0.0631,0,0.0493,0
"self_esteem",0,0,0,0,0,0,0.1129,0,0,0,0,0,0,0.1043,0,0,0,0,0,0,0.124,0
"negEmo",0,0,0,0,0.0831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1245
