"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,0,0,0,0.3783,-0.3326,0,-0.5329,0,0,-0.0115,0,-0.0952,0,0,0,0,0.1452,0.2585,0,0
"E_quiet",0,0,-0.074,0,0,0,0,0,0,0.1335,0,0,0.3305,-0.3821,0,0,0,-0.3349,0,0,-0.4991,0
"C_lazy",0,0.3772,0,-0.144,0,0,0,-0.1061,0,-0.1653,0,-0.2448,0,0.18,0,0.1057,-0.0649,0.3213,-0.3044,0,0.1701,0
"N_relaxed",5.1079,-1.6814,-3.0999,0,-7.4885,3.146,1.5342,0,-2.3917,0,-1.5023,-3.8852,2.1063,-3.9588,-2.1689,-2.1079,3.6758,-2.204,-4.0189,-4.7249,1.9345,2.9528
"N_depressed",0,0.0806,-0.4251,-1.9092,-0.5113,0.3172,0,1.0085,0,-1.5671,0.7276,0,-0.9671,0.6222,0.6749,-0.3682,1.162,-0.4319,0.0708,0.3659,0.3243,1.0543
"E_outgoing",0.264,0.5178,-1.6016,0,0,0.7917,0,1.5962,-1.2116,-2.1295,1.8901,-1.169,0,1.3277,0.6823,0.5565,0.7381,-1.0987,0.0543,0,0.4153,0.3716
"A_kind",0,0,0,0.1603,0,0,0,0,-0.7491,-0.0039,0,0,0,0.216,-0.4442,0,0.456,0,0,0,-0.449,0.3718
"C_reliable",0,-0.2464,0,0,0,0,0,0.5316,-0.3007,-0.1437,0.0912,0,0,-0.0542,0,-0.0471,0.5641,-0.4749,0.4042,0,-0.5614,-0.068
"N_worried",0.8752,0.6733,0,0,0,0.8276,0,0,-1.3499,0.0865,0,0,0.6431,0,-0.9894,0,-0.2058,0,-0.6761,-0.5273,0,0
"self_esteem",-0.0807,0,0,0,-0.2852,0.1456,-0.7621,0,0,0,0,0,0,0.1047,0.7542,0,0.1675,-0.5783,0.4127,0,-0.1853,0
"negEmo",0,0.2777,0,0.0413,0,-0.0079,0,0.3143,0,-0.3815,0,-0.1036,0.2727,0,0,0,0,0.1666,0,0,0,0.0722
