"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0.6998,-0.3073,0,0,0,0,-0.3564,0.841,0,0,0.2108,0,0,0,0,-0.7843,0,0,0,0,-0.3811
"E_quiet",0,0,0,0,-0.458,0,0.1928,0,-0.0422,0,-0.1253,0,-0.2267,-0.2568,0,0,0,0,0.2544,0,0.2418,0
"C_lazy",0,0,0,0.1364,0.3277,0,0,0,0,0.3989,0,0,0,0.0595,0,0,-0.1706,0,0,0,-0.3098,0
"N_relaxed",0,0,0,0,0,0,0,0.3113,0,0,0,0,0,0.3015,-0.1772,0,0.2057,0,0,0,0,-0.4965
"N_depressed",-0.8649,0,0,0,0,0,-0.4782,0,0,0.8126,0,-0.3013,0,0,0.3605,0.2476,0,0,0,0.2416,0,0
"E_outgoing",0,0,-0.3889,0,0,0,0,0,0,0,0,0.2198,0,0,0,-0.0087,-0.2513,0,0,0,0,-0.5732
"A_kind",0,-0.4268,0,0,0,0,0,0,0,0,0,0.2756,0,0,0,0,0.1789,0.2193,0,0,0,0
"C_reliable",0,0,-0.3819,0,0,-0.2567,0,0,0,0,0,0,0,0,0,0,0,-0.1239,0,0,-0.2357,-0.3315
"N_worried",0,0,0,0,0,0,0,0,0,0,0.3106,0,0,0,0,0,0,0,-0.1033,0,0,0
"self_esteem",0,0,0,0,0.2609,0,0,0,0.5439,0,0,0,0,0,0,0,0,0,-0.2733,0,0.0258,0
"negEmo",0.0044,0,0,0,0,0,0,0,-0.497,0.0266,0,0,0,0,0,0,0,0,0,0,0,0.2193
