"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,1.2718,0,0,0,0,5.1322,0,0,0,1.2839,0.8919,0.9291,0,0,1.0126,0.6995,0.6101,3.9922,3.9065,1.3403
"E_quiet",0,0,0.2908,0.4264,0.3389,0,0,0,0,0,0.3528,0,0.151,0,0,0,0,0.3496,0,0,0.4501,0
"C_lazy",0,0.116,0,0,0.1635,0.1113,0.1387,0,0,0.2848,0.2219,0.1528,0.0882,0.123,0,0.1202,0.1414,0.148,0.1351,0.612,0,0.1485
"N_relaxed",0,0,0,0,0.1453,0,0,0.1296,0,0,0,0.1263,0,0,0.1478,0.1111,0,0,0.1388,0.3627,0,0.1334
"N_depressed",0.0484,0.0294,0.028,0.0268,0.0332,0.0295,0.0227,0.0355,0,0,0.0398,0.0322,0.0282,0.0273,0.0447,0.0384,0,0,0,0.2073,0,0
"E_outgoing",0.3376,0,0.303,0,0,0.2006,0,0.2962,1.213,0,0.4253,0.2643,0,0,0.287,0.2168,0.175,0.2907,0.3939,0,0.5312,0
"A_kind",0,0.1355,0,0,0.2108,0,0,0,0,0,0,0,0,0.1395,0,0.1521,0.1787,0,0,0,0.417,0.2725
"C_reliable",0,0,0.1295,0.1365,0,0,0,0,0,0.2052,0.1577,0,0.0675,0.0977,0,0,0,0.1224,0.1434,0,0,0
"N_worried",0.8425,0.1167,0.1948,0,0,0,0,0,0.5698,0.4853,0.3844,0,0.3019,0.234,0,0.3172,0,0,0.2077,0,0,0
"self_esteem",0.0953,0.0338,0,0.0595,0,0.0345,0,0.0728,0.145,0,0,0.0577,0.045,0.0404,0,0,0,0.0651,0,0,0.0869,0
"negEmo",0,0,0,0.1245,0,0.0811,0,0,0.3973,0.1776,0,0,0.0567,0.0849,0,0.0868,0,0.1088,0,0.3033,0,0.1041
