"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0.7796,0,0,0,0.3357,0,0,0,0,0,0.4748,0,0,0,0,0.2456,0,0.4446,0,0.8629,0
"E_quiet",4.3044,0,0.5238,0.2814,2.9575,0.2633,4.077,2.1824,5.7913,1.7606,0,0.2631,1.2785,0.5444,3.5976,0.5206,1.459,1.3151,2.6612,3.3558,3.526,0.7144
"C_lazy",0,0,0,0,0,0,0.1766,0,0,0,0.0965,0,0,0.1314,0.0726,0,0.0616,0,0,0,0.1559,0
"N_relaxed",0,0,0,0,0,0,0,0,0,0,0,0.1636,0,0,0.1058,0,0,0,0,0,0,0
"N_depressed",0,0,0.217,0,0,0,0,0,0,0.2378,0,0,0.1064,0,0.0931,0,0.0906,0,0.1279,0.1033,0.1782,0
"E_outgoing",0.266,0,0,0,0,0,0.2588,0,0,0,0,0,0,0,0,0.1143,0,0,0,0,0,0
"A_kind",0.2691,0,0,0.1741,0,0,0.3442,0.3638,0,0,0,0,0,0.3094,0,0,0.1293,0.2809,0.2499,0,0,0
"C_reliable",0.067,0.061,0.0701,0.021,0,0.0186,0,0.0247,0.0457,0.0592,0,0.0356,0.0399,0,0,0.0346,0.0403,0.0482,0.0449,0.0531,0.0765,0.0336
"N_worried",0,0,0,0,0,0.2197,0,0,0,0,0,0,0,0,0,0,0,0,0.2008,0,0,0
"self_esteem",0.0774,0.0528,0.0857,0,0,0,0,0,0,0,0.0652,0.1002,0,0,0,0,0,0,0.0639,0,0.1335,0.0507
"negEmo",0,0,0,0,0.1019,0,0,0,0,0.2704,0,0,0,0.1812,0,0,0,0.1722,0,0,0,0.1201
