"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,0,0.2921,0,0,0.1836,0,0,0,0,0.0058,0,0,0,0,0,0,0,0,0,0
"E_quiet",0,0,0.5658,0,0,0.4987,0,0,0,0,0.3497,0,0.0613,0,0,-0.1385,0,0,0,0,-0.5296,0
"C_lazy",0,-0.3271,0,0.4176,0,0,0,0,0,0,0,0,0,-0.0238,0,0,0,0,0,0,0,0
"N_relaxed",0.3428,0,0,0,0,0,0,0,0,-0.1164,0,-0.1649,0,0,0.0244,0.4669,-0.2488,0,-0.334,-0.1798,0,-0.2747
"N_depressed",0.0937,-0.0712,0,0,0.3336,0,0.256,0.2366,0,0,0.23,0,0,0,0,0,0,0,0,0.1664,0.4746,0
"E_outgoing",0,-0.255,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0168,0,0,0,0,0,0
"A_kind",-0.359,-0.6546,0.5205,0.3061,0,0,-0.3255,0,1.208,0.1194,0,0,0,0,0,-0.5678,0.1687,0.4009,0,0,-1.0698,0
"C_reliable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2436,0,0,0,0
"N_worried",0,0,0.4017,-0.84,0,0,0,0,0,0,-0.1884,0,0,0,0,0,0,0,-1.0468,0,0,0
"self_esteem",0,0,0.3113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153,0
"negEmo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1583,0,0,-0.3239,0,0,0.6828,-0.0046
