"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,0,0,0,0,0.3217,0,0,0,0,-0.1678,0,0,0,0,0,0,0,0.3149,0,-0.3228
"E_quiet",-0.8928,0,1.122,0,-0.601,0,0,-0.5443,1.2414,0,0,-0.449,-1.1321,0,0,0,0,0,0,0.5972,0,0
"C_lazy",0.1942,0,0,0.5093,0,0,0,0,0.2507,0,0,0.2925,0.2061,0.578,0,0,0,0,-0.289,0,0,-0.2299
"N_relaxed",0,-0.5158,0,0,-0.2997,0,-0.53,0,0,0.3147,0,0,-0.3388,0,0.2509,0.2504,0,0,0,0,0,0
"N_depressed",0,-1.2355,0,0,0,0,0,0.8216,0,0,0,0,0,0,0,0,-0.5379,0,0,-0.2573,-0.3938,0
"E_outgoing",0,0,-0.5792,0,0,0,0,0,0.8685,-1.4763,0,0,0,0.8849,0,-0.5201,0,0,-1.2449,1.4482,0.8715,-1.3418
"A_kind",0,0,0,0,0,0,0,-0.4044,0,-0.5876,0,0,0,0,0,0,-0.175,0,0,0,0,0
"C_reliable",0,0,0,0,0,0,0,0,-0.2548,0,0,0,-0.4392,0,0,-0.4267,0,0.0865,0,0,0.3215,0
"N_worried",0,0,0.2184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31,0,0.2626,0
"self_esteem",0,-0.514,0,0,0.9914,0,0,0,0.4456,0,0,-0.6324,0,0,0,0,-0.5329,0,-0.7251,0,-0.626,0
"negEmo",0,0,0.2723,0,-0.2085,0.251,0,0,0,0,0,-0.2123,-0.2433,-0.2197,0,0,0,0,0,0,0,0.8111
