"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,1.1721,0,0.7156,0,0.4633,0,0,-0.9635,0,0.5498,0,-0.5298,0,-0.537,0,0,0,0,0,0.4899
"E_quiet",0,0,0,0.3993,0,0,0,0.3245,0,0,0,0,-0.2204,0,0,0,0,0,0,0,0,0
"C_lazy",-1.3551,0,0,0,0,0,0,0,0,0,0,0,0,0.2969,0,0,0,0,0,0,0,0
"N_relaxed",0,0.3828,0.6149,0,-0.9386,0,1.5837,0,0,0,0,0,-0.4339,0,0.0726,0,0,0,0,0,0,0
"N_depressed",0,0,0,0.6443,0,0,0,0,0,0.9153,0,0,0,0,0,0,0,0,0,-0.151,0,0
"E_outgoing",0,0,0,0,0,0,0,0,0,-0.5893,0,0,-0.3843,0,0,-0.1407,0,0,0,0,0,0
"A_kind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3072,0,-0.0674,0,0,0,0,0
"C_reliable",-0.8657,-1.3078,1.3849,0,-1.1677,0,0,-1.6213,0.5955,1.058,0.6072,-0.6588,-1.7294,0.8037,2.4297,0,0.8249,-0.1685,0.6096,0,1.6716,0.5126
"N_worried",0,0,0,0,0,0,0.4095,0,0,0,0.403,0,-0.3436,0,0,-0.1954,0.4698,0,0.2757,0,0,0
"self_esteem",0,0,0,-4.8952,0,0,0,0,-4.6094,0,0,0,0,0,0,0,-1.795,0,2.3332,0,-1.8223,0
"negEmo",0,0,0,-0.2401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1392
