"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,0,0,0,0,0.5162,0.2216,0,0,0.6558,0.1593,0,0,0,0,0,0,0,0,0.4035,0
"E_quiet",0,0,0,0,0,0,0,0,-0.24,0,0,0,0.1344,0,0.3074,0,0,0,0,0,0.4109,0
"C_lazy",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2426,0,0,0,0,0,0,0,0
"N_relaxed",0,-0.3209,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,0,0,0
"N_depressed",0,0,0,0,0,0,0,0,0,0,0.7742,0,0,0,0,0,0,0,0,-0.0909,0,0
"E_outgoing",0.5821,0,0,0,0,0,0.4897,-0.2814,0,0,0,0,0,0,0,-0.2344,0,0,0,0.5288,0,0
"A_kind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1914,0,0,0,0,0
"C_reliable",-0.5902,-0.3889,0.3123,0,-0.4158,0.4203,0,0,0,0,0,0,0.2881,0,0.5286,0,0,-0.4503,0,0,0,0
"N_worried",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0234,0,0,0
"self_esteem",0,0,0.1962,0,0,0.2521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2476,0
"negEmo",0,0,0,-0.2993,0,0.469,0,0.2442,-0.57,0,0,0,0,0,-0.2804,0.504,0,0,0,0,0,0.2965
