"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,0,0,0,0,0,0,0.072,0.0558,0,0.1131,0.029,0,0,0,0,0,0,0,0,0.0683
"E_quiet",0,0,0,0,0,0,0.1342,0,0,0.1716,0,0,0.1009,0.1863,0,0,0,0,0,0,0.1957,0
"C_lazy",0,0,0,0,0,0,0.0765,0,0,0.097,0,0,0,0.1185,0,0,0,0,0,0,0,0
"N_relaxed",0,0.0718,0,0,0,0.0698,0,0.101,0,0,0,0,0,0,0.1085,0,0,0,0,0,0.1508,0
"N_depressed",0,0,0,0,0,0,0.0564,0,0,0.0733,0,0,0,0,0,0,0,0,0,0.1698,0,0
"E_outgoing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1258,0,0,0,0,0,0
"A_kind",0,0,0,0,0,0,0.1609,0,0,0,0,0,0,0,0,0,0.1219,0,0,0,0,0
"C_reliable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1171,0,0,0.1127,0,0,0,0.1827
"N_worried",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1548,0,0,0,0,0.1384,0,0,0.2002
"self_esteem",0,0,0,0,0,0,0,0.0822,0,0,0,0,0,0,0,0,0,0,0,0,0.1167,0
"negEmo",0,0,0,0,0,0,0,0,0.1204,0,0,0,0,0,0,0,0,0,0,0,0,0.1368
