"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,0.2717,0,0,0,0,0,0.3263,0,0,0.2672,0,0,0,0,0,0,0,0,0,0
"E_quiet",0,0,0,0,0,0,0,0,0.2048,0.1977,0,0,-0.2054,0,0,0,0,0,0,0,0,0
"C_lazy",0,0,0,0,0,0,0,0,0,0,-0.2249,0,0,0.3691,0,0,0,0,0,0,0,0
"N_relaxed",0,0,0,0,0,0,0,0,0,0,0,-0.23,0,0,0.1412,0,-0.2975,0,-0.2986,0.2941,0,0
"N_depressed",0,0,0,0,0,-0.2403,0,0.2997,0,0,0.3036,0,0,0,0,0.3498,0,0,0,-0.2156,0.2718,0
"E_outgoing",0,-0.2166,0,0,0,0,0,-0.2038,0,0,0,0,0,-0.2056,0,0.2614,0.277,0.3195,0,0,0,0
"A_kind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1766,0,0,0,-0.2274,0
"C_reliable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1855,0,0,0,0.2682
"N_worried",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5315,0,0,0
"self_esteem",0.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0942,0
"negEmo",0,0,0,0,0,0,0,0,0,0,0,0.3396,0,0,0,0,0,0,0,0,0,-0.003
