"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,0,0.1215,0,0,0,0.058,0,0,0.0658,0.1101,0.0927,0,0.1142,0.1406,0,0,0,0.0454,0,0
"E_quiet",0.1381,0,0,0.1563,0,0.0617,0,0,0,0,0.1081,0,0.1183,0,0,0,0,0,0,0.0719,0,0
"C_lazy",0,0.0065,0,0.0461,0.0192,0.0108,0.0069,0.0056,0.0053,0.0075,0,0,0.0139,0.0144,0,0,0,0.0261,0,0,0.0058,0.0184
"N_relaxed",0,0,0.1244,0,0.1272,0.068,0.1061,0,0,0.0886,0.1042,0,0,0.1276,0.1682,0,0.0626,0,0.0712,0,0.0776,0
"N_depressed",0,0,0.2856,0,0,0,0,0.1432,0,0,0,0,0,0,0,0,0,0.2446,0,0.102,0,0
"E_outgoing",0,0,0,0,0,0,0,0,0,0.0626,0,0.1082,0.1028,0,0,0.183,0,0,0,0,0,0
"A_kind",0.4278,0,0,0.7845,0.408,0,0.5775,0,0,0,0,0,0,0.4194,0,0,0.2389,0,0,0,0,0
"C_reliable",0,0,0,0.4854,0.205,0,0,0.1058,0,0,0,0,0,0,0,0,0,0.2102,0,0,0,0
"N_worried",0,0,0,0,0,0,0,0,0,0,0.112,0,0,0,0,0,0,0.1607,0.1004,0,0,0
"self_esteem",0,0,0.2021,0.2088,0,0,0,0.0904,0,0,0,0,0,0,0,0,0.0827,0,0.118,0,0.1159,0.1314
"negEmo",0,0,0,0,0,0,0,0,0.067,0,0,0.1735,0,0,0,0,0.0773,0.1293,0,0.0815,0,0.0965
