"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,0,0,0,0,0,0,0,0,0,-0.0713,0,0,0,0,0,0,-0.2558,0,0,0
"E_quiet",0,0,0,0,0,0,0,0,0,0,0,0,-0.2981,0,0,-0.5467,0,0,0.2631,0,0,0.3019
"C_lazy",0.4984,0,0,0,0,0,0,0,0,0,0.1931,0,0,-0.1805,0,0.2246,0,0,0,0,0,0
"N_relaxed",0,0,0,0,0,0,0,0,0,0,0,0,-0.2689,0,-0.0642,0,0,0,0,0,0,0
"N_depressed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0617,0,0
"E_outgoing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5015,0,0,0,0.3692,-0.2318,0
"A_kind",0,0,0,0.1865,0.2844,0,0,0,0,0,-0.2291,0,0,0,0,0,-0.2287,0.2514,0,0,-0.243,0
"C_reliable",-0.2437,0,0,0,0,0,0,-0.9178,0,0,0,0,0,0,0,0.5258,0,-0.3432,0,0,0,0
"N_worried",0,0,0,0,0,0,0.9328,0,0,0,0.2687,0,0,0,0.6044,0,0,0,-0.3105,0,0,0.7433
"self_esteem",0.2056,0.2226,0,0,0,0,0,0,0.4682,0,0.2917,0,0,0,0,0,0,0,0,0.2156,-0.0721,0
"negEmo",-0.2689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1369
