"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,0.1174,0.6048,0,0.2065,0,0,0,0,0,0.1579,0,0,0,0,0,0,0,0,0,0.1661
"E_quiet",0.1634,0,0.0825,0,0.1038,0.148,0.1427,0,0,0.1694,0.1317,0,0.1415,0,0,0,0,0.1524,0,0,0,0
"C_lazy",0,0,0,0.48,0,0,0,0.2147,0.1965,0,0,0.2573,0,0.1453,0,0,0,0,0,0,0,0.3054
"N_relaxed",0.0993,0.0922,0,0,0,0.0936,0.0908,0.066,0,0,0,0.0754,0,0.0401,0.174,0.0535,0,0.1031,0.0784,0,0.0957,0.1014
"N_depressed",0,0.2577,0,0,0,0,0,0,0,0.2758,0.1673,0,0,0,0,0,0.2216,0,0.2103,0.1397,0,0
"E_outgoing",0,0,0,0,0,0.1107,0,0,0,0,0.1024,0.1323,0,0,0.2774,0.0897,0,0,0,0.0799,0,0
"A_kind",0,0,0,0,0,0,0.1166,0.0997,0,0.1338,0,0,0,0.0464,0,0.0685,0.1002,0.085,0,0,0,0
"C_reliable",0.1314,0,0,0,0.1119,0,0,0.1172,0.087,0.1497,0.1248,0,0,0,0.2999,0.0852,0.1275,0.1223,0.1265,0,0,0
"N_worried",0.1509,0,0,0,0,0,0,0,0,0,0,0,0.1197,0,0,0,0.1486,0,0.1231,0,0,0.1238
"self_esteem",0,0,0,0.1571,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634,0.1129,0
"negEmo",0,0,0,0,0,0,0,0.1118,0,0.1667,0,0,0,0,0.2634,0,0.1579,0,0.1449,0,0.1933,0.1431
