"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0.0302,0.0348,0.033,0.0426,0.0318,0.0317,0.0576,0,0.0879,0.0715,0.1404,0,0.0858,0.0178,0.0214,0.0546,0.0378,0.0477,0.1663,0.0748,0.0764
"E_quiet",0,0,0,0,0,0,0.5021,0,0,0.4274,0.4055,0,0.1716,0,0,0,0,0,0,0,0,0
"C_lazy",0,0.1174,0,0,0,0.114,0,0,0.5841,0,0.1993,0,0,0.1438,0,0,0,0.1951,0,0,0.2837,0.1875
"N_relaxed",0,0,0.1319,0,0,0,0.246,0.1423,0,0.2904,0.1923,0,0.1233,0,0.0971,0.0746,0,0,0.1638,0.4171,0.2505,0
"N_depressed",0,0.0243,0,0.0244,0.019,0,0.0344,0.0485,0,0.0661,0,0,0,0,0,0,0.0271,0,0,0.1211,0,0
"E_outgoing",0.423,0.1679,0,0.1541,0,0,0.2405,0.2488,0,0.3549,0.3272,0.3839,0.1532,0.2572,0,0.0993,0.1438,0,0,0,0.3125,0.2592
"A_kind",0.3828,0.1506,0.2007,0.3111,0.1275,0,0,0.2736,0,0,0,0,0.2071,0,0.2064,0,0.1458,0.2147,0.3922,0.7481,0.4785,0.205
"C_reliable",0,0.2674,0,0.3575,0.2763,0.3069,0,0.5097,0,0,0.4345,0.5603,0.2711,0.3105,0,0.1596,0.2158,0.2898,0,0.7034,0.4694,0
"N_worried",0.2813,0,0.1333,0,0,0,0,0,0,0,0,0,0,0.1154,0,0,0.0787,0,0.1268,0.3646,0,0.1599
"self_esteem",0.1135,0,0,0,0,0,0,0,0,0,0,0,0.0394,0,0,0,0,0.0606,0.0524,0.1712,0.0987,0.0645
"negEmo",1.2444,0.192,0,0,0.2199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518,0.3674
