"","A_rude","E_quiet","C_lazy","N_relaxed","E_outgoing","A_kind","C_reliable","N_worried","N_depressed","self_esteem","negEmo","A_rudelag","E_quietlag","C_lazylag","N_relaxedlag","E_outgoinglag","A_kindlag","C_reliablelag","N_worriedlag","N_depressedlag","self_esteemlag","negEmolag"
"A_rude",0,0,0,0,0,0,0,0,0,0,0,0.1151,0,0,0,0,0,0,0,0,0,0
"E_quiet",0,0,0,0,0,0,0,0,0,0,0.1041,0,0.1099,0,0,0,0,0,0,0,0,0
"C_lazy",0,0,0,0,0,0,0,0,0,0,0.0943,0.4479,0,0.1217,0,0,0,0,0,0,0,0
"N_relaxed",0,0,0,0,0,0,0,0.1176,0,0,0,0,0,0,0.1188,0,0,0,0,0,0,0
"N_depressed",0,0,0,0,0,0,0,0,0,0.1696,0.1226,0,0,0,0,0,0,0,0,0.1075,0,0
"E_outgoing",0,0.1304,0,0,0,0,0,0,0,0,0,0,0,0.1528,0,0.0989,0,0,0,0,0,0
"A_kind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1118,0,0,0,0.2343,0
"C_reliable",0,0,0,0,0,0,0,0,0,0,0.0748,0,0,0,0,0,0,0.122,0.0716,0,0,0
"N_worried",0,0,0,0,0,0,0,0,0,0,0.1018,0,0.1094,0,0.0945,0,0,0,0.1083,0,0.1427,0
"self_esteem",0,0,0,0,0,0,0,0,0,0,0.0637,0.307,0,0,0,0,0,0,0,0.0722,0.0966,0
"negEmo",0.3683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1293,0,0,0,0.0849
